quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2535	1000	7	7	8	0	2	2	0	1	0	0	0	0	0	0	0	14.00	12.25	1.904249	5.096264	1.981798	37.344376	1	37.561375	102.406670
2536	1000	4	5	8	0	1	0	0	0	0	0	0	0	0	0	0	14.00	12.25	1.903443	5.096264	1.988927	37.525211	1	37.493317	102.406670
2537	1000	7	7	5	0	1	2	0	0	0	0	0	0	0	0	0	14.00	12.25	1.898608	5.088206	1.986075	37.532665	1	37.428318	102.406670
2538	1000	8	5	7	0	0	3	0	0	0	0	0	0	0	0	0	14.00	12.25	1.901832	5.094653	1.987501	37.504990	1	37.489044	102.406670
2539	1000	7	7	9	0	0	3	0	0	0	0	0	0	0	0	0	14.00	12.25	1.901026	5.094653	1.984650	37.432636	1	37.432636	102.406670
2540	1000	5	8	7	0	2	1	0	1	0	0	0	0	0	0	0	14.00	12.25	1.900220	5.094653	1.983224	37.396458	1	37.344376	102.406670
2541	1000	9	6	9	0	1	5	0	1	0	0	0	0	0	0	0	14.00	12.25	1.898608	5.088206	1.983224	37.460220	1	37.376194	102.406670
2542	1000	4	8	5	0	1	2	0	0	0	0	0	0	0	0	0	14.00	12.25	1.901026	5.093041	1.983224	37.412384	1	37.360279	102.406670
2543	1000	10	8	11	0	1	3	0	2	0	0	0	0	0	0	0	14.00	12.25	1.899414	5.093041	1.978946	37.303814	1	37.324100	102.406670
2544	1000	6	7	6	0	1	1	0	0	0	0	0	0	0	0	0	13.50	12.25	1.901026	5.094653	1.980372	37.324100	1	37.324100	102.406670
2545	1000	6	8	8	0	3	2	0	0	0	0	0	0	0	0	0	13.50	12.25	1.896996	5.093041	1.970392	37.086678	1	37.371841	102.406670
2546	1000	10	11	9	0	3	4	0	1	0	0	0	0	0	0	0	13.50	12.25	1.896996	5.093041	1.978946	37.303814	1	37.199711	102.406670
2547	1000	2	4	4	0	1	0	0	0	0	0	0	0	0	0	0	13.50	12.25	1.898608	5.093041	1.976095	37.231434	1	37.143211	102.406670
2548	1000	8	6	4	0	2	3	0	0	0	0	0	0	0	0	0	13.50	12.25	1.898608	5.093041	1.976095	37.231434	1	37.127377	102.406670
2549	1000	13	9	7	0	2	3	0	1	0	0	0	0	0	0	0	13.50	12.25	1.895385	5.093041	1.974669	37.195248	1	37.195248	102.406670
2550	1000	5	12	5	0	4	1	0	1	0	0	0	0	0	0	0	13.50	12.25	1.894579	5.091429	1.971818	37.138710	1	37.159054	102.406670
2551	1000	6	7	5	0	1	0	0	0	0	0	0	0	0	0	0	13.50	12.00	1.887326	5.091429	1.971818	37.138710	1	37.122868	102.406670
2552	1000	8	4	7	0	0	2	0	1	0	0	0	0	0	0	0	13.50	12.00	1.889744	5.093041	1.970392	37.086678	1	37.070854	102.406670
2553	1000	5	5	6	0	1	1	0	0	0	0	0	0	0	0	0	13.50	12.00	1.892161	5.094653	1.970392	37.070854	1	37.070854	102.406670
2554	1000	6	10	9	0	0	0	0	2	0	0	0	0	0	0	0	13.50	12.00	1.892161	5.089818	1.967541	37.045925	1	37.061756	102.406670
2555	1000	6	9	5	0	1	2	0	0	0	0	0	0	0	0	0	13.50	12.00	1.888132	5.089818	1.967541	37.045925	1	36.957706	102.406670
2556	1000	6	6	3	0	2	1	0	0	0	0	0	0	0	0	0	13.50	12.00	1.888938	5.089818	1.964689	36.973503	1	36.921497	102.406670
2557	1000	7	6	8	0	1	2	0	1	0	0	0	0	0	0	0	13.50	12.00	1.889744	5.091429	1.963263	36.921497	1	36.941917	102.406670
2558	1000	7	5	4	0	1	2	0	1	0	0	0	0	0	0	0	13.50	12.00	1.887326	5.093041	1.964689	36.941917	1	36.889957	102.406670
2559	1000	7	3	4	0	2	2	0	0	0	0	0	0	0	0	0	13.50	12.00	1.883297	5.084982	1.954709	36.767216	1	36.880630	102.406670
2560	1000	4	6	3	0	0	2	0	0	0	0	0	0	0	0	0	13.50	12.00	1.885714	5.091429	1.961837	36.885300	1	36.853783	102.406670
2561	1000	8	7	5	0	2	2	0	0	0	0	0	0	0	0	0	13.50	12.00	1.885714	5.091429	1.960412	36.849098	1	36.817604	102.406670
2562	1000	8	5	8	0	1	3	0	0	0	0	0	0	0	0	0	13.50	12.00	1.884103	5.091429	1.958986	36.812897	1	36.812897	102.406670
2563	1000	9	6	10	0	2	2	0	0	0	0	0	0	0	0	0	13.50	12.00	1.882491	5.088206	1.946154	36.518391	1	36.819237	102.406670
2564	1000	6	4	4	0	1	1	0	0	0	0	0	0	0	0	0	13.50	12.00	1.879267	5.088206	1.953283	36.699512	1	36.611374	102.406670
2565	1000	10	6	4	0	3	2	0	0	0	0	0	0	0	0	0	13.50	12.00	1.880073	5.088206	1.953283	36.699512	1	36.663288	102.406670
2566	1000	3	6	2	0	0	1	0	0	0	0	0	0	0	0	0	13.50	12.00	1.882491	5.089818	1.953283	36.683796	1	36.414684	102.406670
2567	1000	8	9	9	0	2	2	0	2	0	0	1	0	0	0	0	13.50	12.00	1.880879	5.093041	1.953283	36.652401	1	36.636715	102.406670
2568	1000	7	6	5	0	4	3	0	0	0	0	0	0	0	0	0	13.50	11.75	1.877656	5.084982	1.950431	36.658478	1	36.663288	102.406670
2569	1000	3	4	3	0	1	1	0	0	0	0	0	0	0	0	0	13.00	11.75	1.880073	5.091429	1.950431	36.595692	1	36.492001	102.406670
2570	1000	6	7	5	0	3	0	0	0	0	0	0	0	0	0	0	13.00	12.00	1.880073	5.089818	1.946154	36.502731	1	36.523289	102.406670
2571	1000	12	11	7	0	4	4	0	1	0	0	1	0	0	0	0	13.00	12.00	1.882491	5.093041	1.947580	36.507641	1	36.492001	102.406670
2572	1000	9	7	13	0	2	4	0	0	0	0	0	0	0	0	0	13.50	12.00	1.881685	5.086594	1.933322	36.207943	1	36.456654	102.406670
2573	1000	11	10	4	0	4	2	0	1	0	0	0	0	0	0	0	13.50	12.00	1.880879	5.086594	1.943303	36.461586	1	36.430305	102.406670
2574	1000	5	5	9	0	1	3	0	1	0	0	0	0	0	0	0	13.50	11.75	1.880073	5.091429	1.944728	36.450886	1	36.399067	102.406670
2575	1000	9	8	9	0	1	5	0	0	0	0	0	0	0	0	0	13.50	11.75	1.876044	5.091429	1.944728	36.450886	1	36.414684	102.406670
2576	1000	4	10	7	0	0	1	0	2	0	0	0	0	0	0	0	13.50	11.75	1.876044	5.091429	1.941877	36.378487	1	36.362885	102.406670
2577	1000	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	13.00	11.75	1.873626	5.083370	1.939025	36.384140	1	36.368504	102.406670
2578	1000	3	5	3	0	1	0	0	0	0	0	0	0	0	0	0	13.00	11.75	1.870403	5.089818	1.941877	36.394096	1	36.399067	102.406670
2579	1000	9	6	3	0	2	2	0	0	0	0	0	0	0	0	0	13.00	11.75	1.872015	5.088206	1.939025	36.337273	1	36.269878	102.406670
2580	1000	15	8	4	0	2	3	0	0	0	0	0	0	0	0	0	13.00	11.75	1.874432	5.089818	1.939025	36.321671	1	36.306084	102.406670
2581	1000	2	6	3	0	1	0	0	0	0	0	0	0	0	0	0	13.00	11.75	1.876044	5.091429	2.013165	38.188541	1	36.352882	102.406670
2582	1000	8	7	8	0	1	1	0	0	0	0	0	0	0	0	0	13.00	11.75	1.874432	5.086594	1.937600	36.316643	1	36.197475	102.406670
2583	1000	10	5	5	0	1	2	0	0	0	0	0	0	0	0	0	13.00	11.75	1.876044	5.088206	1.934748	36.228596	1	36.156151	102.406670
2584	1000	3	3	8	0	1	1	0	0	0	0	0	0	0	0	0	13.50	11.75	1.876044	5.086594	1.931897	36.171703	1	36.156151	102.406670
2585	1000	7	5	4	0	1	1	0	0	0	0	0	0	0	0	0	13.50	11.75	1.876850	5.089818	1.934748	36.213032	1	36.176823	102.406670
2586	1000	6	5	6	0	1	2	0	1	0	0	0	0	0	0	0	13.00	11.75	1.872015	5.083370	1.924768	36.021545	1	36.151016	102.406670
2587	1000	10	4	7	0	1	2	0	0	0	0	0	0	0	0	0	13.00	11.75	1.872015	5.086594	1.933322	36.207943	1	36.104393	102.406670
2588	1000	6	3	5	0	2	2	0	0	0	0	0	0	0	0	0	13.00	11.75	1.872821	5.088206	1.929045	36.083702	1	36.068180	102.406670
2589	1000	9	10	6	0	2	1	0	0	0	0	0	0	0	0	0	13.00	11.75	1.868791	5.086594	1.927619	36.062996	1	36.026760	102.406670
2590	1000	6	9	7	0	0	3	0	0	0	0	0	0	0	0	0	13.00	11.50	1.866374	5.088206	1.916213	35.757683	1	36.073341	102.406670
2591	1000	9	9	8	0	5	2	0	1	0	0	0	0	0	0	0	13.00	11.50	1.865568	5.086594	1.927619	36.062996	1	35.995754	102.406670
2592	1000	9	4	5	0	2	1	0	0	0	0	0	0	0	0	0	13.00	11.75	1.866374	5.086594	1.923342	35.954288	1	35.819447	102.406670
2593	1000	7	12	10	0	3	3	0	3	0	0	0	0	0	0	0	13.00	11.75	1.867985	5.088206	1.923342	35.938805	1	35.944069	102.406670
2594	1000	7	11	8	0	1	3	0	0	0	0	0	0	0	0	0	13.00	11.75	1.867180	5.084982	1.921916	35.933537	1	35.897289	102.406670
2595	1000	11	11	9	0	3	3	0	0	0	0	0	0	0	0	0	13.00	11.75	1.868791	5.084982	1.923342	35.969780	1	35.954288	102.406670
2596	1000	9	11	5	0	3	0	0	0	0	0	0	0	0	0	0	13.00	11.75	1.865568	5.083370	1.919065	35.876514	1	35.897289	102.406670
2597	1000	6	8	2	0	2	0	0	0	0	0	0	0	0	0	0	13.00	11.75	1.866374	5.083370	1.919065	35.876514	1	35.881821	102.406670
2598	1000	7	5	2	0	1	1	0	0	0	0	0	0	0	0	0	13.00	11.75	1.867985	5.088206	1.920491	35.866360	1	35.866360	102.406670
2599	1000	7	6	7	0	2	3	0	0	0	0	0	0	0	0	0	13.00	11.50	1.866374	5.089818	1.897678	35.271503	1	35.876514	102.406670
2600	1000	7	6	11	0	2	3	0	0	0	0	0	0	0	0	0	13.00	11.50	1.864762	5.086594	1.917639	35.809349	1	35.830135	102.406670
2601	1000	9	7	7	0	3	2	0	1	0	0	0	0	0	0	0	13.00	11.50	1.864762	5.084982	1.914788	35.752296	1	35.746910	102.406670
2602	1000	3	5	7	0	1	1	0	2	0	0	0	0	0	0	0	13.00	11.50	1.865568	5.088206	1.916213	35.757683	1	35.742264	102.406670
2603	1000	3	6	11	0	1	1	0	0	0	0	0	0	0	0	0	13.00	11.50	1.864762	5.086594	1.913362	35.700634	1	35.649010	102.406670
2604	1000	8	5	7	0	1	2	0	0	0	0	0	0	0	0	0	13.00	11.50	1.862344	5.078535	1.903382	35.523754	1	35.726070	102.406670
2605	1000	13	5	10	0	1	3	0	0	0	0	0	0	0	0	0	13.00	11.50	1.862344	5.083370	1.910510	35.658958	1	35.628166	102.406670
2606	1000	7	8	13	0	1	4	0	2	0	0	0	0	0	0	0	13.00	11.50	1.862344	5.086594	1.910510	35.628166	1	35.576561	102.406670
