quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2	1000	8	21	19	1	8	1	1	4	1	1	1	1	1	1	1	-0.50	-3.75	1.066960	4.624030	0.473350	0.306061	1	0.221756	0.316983
3	1000	9	7	11	0	7	2	0	1	0	0	1	0	0	0	0	-0.50	-3.75	1.067766	4.625641	0.473350	0.301450	1	0.296842	0.316983
4	1000	3	12	5	0	3	0	0	1	0	0	0	0	0	0	0	-0.50	-3.75	1.067766	4.625641	0.473350	0.301450	1	0.257010	0.316983
5	1000	2	6	3	0	1	1	0	1	0	0	0	0	0	0	0	-0.50	-3.75	1.068571	4.627253	0.473350	0.296842	1	0.283039	0.316983
6	1000	3	9	4	0	2	0	0	0	0	0	0	0	0	0	0	-0.50	-3.75	1.064542	4.611135	0.469073	0.223150	1	0.298471	0.316983
7	1000	8	8	7	3	6	3	3	3	3	3	3	3	3	3	3	-0.50	-3.75	1.066960	4.620806	0.471925	0.275406	1	0.298471	0.316983
8	1000	11	11	3	2	8	2	2	3	2	2	2	2	2	2	2	-0.50	-3.75	1.069377	4.628865	0.469073	0.172781	1	0.287636	0.316983
9	1000	9	12	13	1	6	3	1	1	1	1	1	1	1	1	1	-0.50	-3.75	1.068571	4.624030	0.471925	0.266201	1	0.296842	0.316983
10	1000	8	7	5	3	7	4	3	4	3	3	4	3	3	3	3	-0.50	-3.75	1.067766	4.622418	0.473350	0.310675	1	0.221756	0.316983
11	1000	8	12	14	7	8	7	7	8	7	7	7	7	7	7	7	-0.50	-3.75	1.069377	4.627253	0.473350	0.296842	1	0.168221	0.316983
12	1000	9	8	8	7	7	7	7	7	7	7	7	7	7	7	7	-0.50	-3.75	1.067766	4.617582	0.467647	0.164874	1	0.255405	0.316983
13	1000	9	7	10	4	7	4	4	4	4	4	4	4	4	4	4	-0.50	-3.75	1.067766	4.620806	0.471925	0.275406	1	0.266201	0.316983
14	1000	7	18	13	0	6	0	0	2	0	0	0	0	0	0	0	-0.50	-3.75	1.066154	4.614359	0.473350	0.333796	1	0.315294	0.316983
15	1000	5	13	7	0	3	0	0	1	0	0	0	0	0	0	0	-0.50	-3.75	1.066154	4.611135	0.473350	0.343066	1	0.253907	0.316983
16	1000	4	14	12	0	2	0	0	6	0	0	0	0	0	0	0	-0.50	-3.75	1.066960	4.614359	0.470499	0.253907	1	0.289235	0.316983
17	1000	8	18	15	0	7	0	0	5	0	0	0	0	0	0	0	-0.50	-3.75	1.067766	4.619194	0.469073	0.200208	1	0.298471	0.316983
18	1000	9	8	3	0	8	0	0	0	0	0	0	0	0	0	0	-0.50	-3.75	1.067766	4.620806	0.471925	0.275406	1	0.270801	0.316983
19	1000	9	17	8	0	7	1	0	1	0	0	0	0	0	0	0	-0.50	-3.7
