quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
4523	1000	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.502198	5.146227	4.575245	102.005211	0	101.790192	0.774834
4524	1000	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	26.50	23.75	2.498169	5.138169	4.575245	102.185463	0	101.969894	0.774834
4525	1000	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.499780	5.144616	4.569542	101.897903	0	101.933746	0.774834
4526	1000	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.502198	5.144616	4.568116	101.862076	0	101.861938	0.774834
4527	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.501392	5.144616	4.569542	101.897903	0	101.539558	0.774834
4528	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.501392	5.143004	4.573819	102.041397	0	101.897903	0.774834
4529	1000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.501392	5.143004	4.572393	102.005569	0	101.969559	0.774834
4530	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.501392	5.144616	4.578096	102.112869	0	102.005386	0.774834
4531	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.501392	5.143004	4.578096	102.148918	0	102.041214	0.774834
4532	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.500586	5.141392	4.572393	102.041595	0	102.005569	0.774834
4533	1000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503004	5.144616	4.558136	101.611282	0	102.077240	0.774834
4534	1000	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.502198	5.144616	4.572393	101.969559	0	101.897766	0.774834
4535	1000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503810	5.146227	4.575245	102.005211	0	101.897606	0.774834
4536	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.504616	5.147840	4.579522	102.076622	0	102.004845	0.774834
4537	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503004	5.147840	4.578096	102.040817	0	101.969215	0.774834
4538	1000	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.502198	5.141392	4.580948	102.256699	0	102.220352	0.774834
4539	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.502198	5.146227	4.579522	102.112648	0	102.040817	0.774834
4540	1000	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503810	5.146227	4.578096	102.076843	0	102.041031	0.774834
4541	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503004	5.143004	4.578096	102.148918	0	101.969559	0.774834
4542	1000	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503810	5.149451	4.558136	101.503731	0	102.184761	0.774834
4543	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503004	5.146227	4.579522	102.112648	0	102.041031	0.774834
4544	1000	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	26.50	23.75	2.505421	5.151063	4.578096	101.968880	0	102.076424	0.774834
4545	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503810	5.147840	4.578096	102.040817	0	102.076843	0.774834
4546	1000	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.502198	5.144616	4.576671	102.077042	0	102.041214	0.774834
4547	1000	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	26.50	23.75	2.503004	5.143004	4.583799	102.292274	0	102.149155	0.774834
4548	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.505421	5.149451	4.558136	101.503731	0	102.040619	0.774834
4549	1000	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	26.50	23.75	2.505421	5.149451	4.578096	102.004845	0	102.004845	0.774834
4550	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503810	5.146227	4.579522	102.112648	0	101.969215	0.774834
4551	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.504616	5.149451	4.563838	101.646904	0	102.220596	0.774834
4552	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.505421	5.149451	4.579522	102.040619	0	102.076225	0.774834
4553	1000	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.502198	5.144616	4.563838	101.754593	0	102.113091	0.774834
4554	1000	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.151063	4.579522	102.004662	0	102.076225	0.774834
4555	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.505421	5.147840	4.575245	101.969215	0	101.933105	0.774834
4556	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503810	5.144616	4.580948	102.184525	0	102.148697	0.774834
4557	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.503810	5.147840	4.560987	101.611160	0	101.969055	0.774834
4558	1000	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.151063	4.583799	102.112007	0	102.040436	0.774834
4559	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.505421	5.149451	4.582374	102.112228	0	101.968880	0.774834
4560	1000	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.504616	5.147840	4.569542	101.825989	0	102.184525	0.774834
4561	1000	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	26.50	23.75	2.505421	5.149451	4.580948	102.076424	0	102.040436	0.774834
4562	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.147840	4.582374	102.148239	0	101.897316	0.774834
4563	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.152675	4.579522	101.968712	0	102.112007	0.774834
4564	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507033	5.152675	4.585225	102.111786	0	102.004303	0.774834
4565	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507033	5.151063	4.578096	101.968880	0	101.539444	0.774834
4566	1000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.151063	4.586651	102.183571	0	102.111786	0.774834
4567	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507839	5.154286	4.588077	102.147339	0	102.075821	0.774834
4568	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.154286	4.583799	102.040070	0	101.968552	0.774834
4569	1000	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	26.50	23.75	2.507033	5.152675	4.570968	101.754089	0	102.148239	0.774834
4570	1000	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.152675	4.582374	102.040253	0	102.040436	0.774834
4572	1000	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507033	5.151063	4.583799	102.112007	0	102.040070	0.774834
4573	1000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507839	5.154286	4.563838	101.539421	0	102.075821	0.774834
4574	1000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.151063	4.580948	102.040436	0	102.040253	0.774834
4575	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	24.00	2.507033	5.149451	4.563838	101.646904	0	101.539520	0.774834
4576	1000	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507033	5.152675	4.588077	102.183342	0	102.040253	0.774834
4577	1000	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507033	5.152675	4.586651	102.147560	0	102.004303	0.774834
4578	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	24.00	2.509451	5.154286	4.588077	102.147339	0	102.004128	0.774834
4579	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507839	5.152675	4.566690	101.646767	0	102.112434	0.774834
4580	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507839	5.154286	4.586651	102.111588	0	102.040070	0.774834
4581	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.509451	5.157510	4.585225	102.003944	0	102.003944	0.774834
4582	1000	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507839	5.152675	4.583799	102.076019	0	102.040253	0.774834
4583	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.508645	5.154286	4.585225	102.075821	0	102.040070	0.774834
4584	1000	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	24.00	2.508645	5.152675	4.586651	102.147560	0	101.503654	0.774834
4585	1000	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.508645	5.154286	4.579522	101.932785	0	102.039871	0.774834
4586	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.508645	5.154286	4.582374	102.004303	0	101.968376	0.774834
4587	1000	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	26.50	24.00	2.509451	5.151063	4.582374	102.076225	0	101.861397	0.774834
4588	1000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507839	5.152675	4.560987	101.503677	0	102.184044	0.774834
4589	1000	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.506227	5.151063	4.579522	102.004662	0	102.040436	0.774834
4590	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.508645	5.160733	4.579522	101.789291	0	102.004303	0.774834
4591	1000	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	26.50	23.75	2.507033	5.152675	4.583799	102.076019	0	102.004486	0.774834
4592	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.50	24.00	2.507033	5.149451	4.583799	102.148003	0	102.076019	0.774834
