quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2033	1000	3	3	2	0	0	0	0	1	0	0	0	0	0	0	0	19.50	17.75	2.200806	5.146227	2.646199	53.546459	1	53.454029	102.406670
2034	1000	3	5	2	0	2	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.200000	5.147840	2.643348	53.454029	1	53.448273	102.406670
2035	1000	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.195971	5.138169	2.639071	53.471352	1	53.444763	102.406670
2036	1000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.198388	5.147840	2.641922	53.418228	1	53.418228	102.406670
2037	1000	1	2	3	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.197582	5.147840	2.639071	53.346615	1	53.269363	102.406670
2038	1000	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	19.50	17.75	2.195971	5.143004	2.639071	53.408932	1	53.280670	102.406670
2039	1000	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.193553	5.139781	2.623387	53.056065	1	53.378811	102.406670
2040	1000	3	4	2	0	2	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.195165	5.144616	2.634794	53.280670	1	53.259933	102.406670
2041	1000	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.196777	5.146227	2.634794	53.259933	1	53.146908	102.406670
2042	1000	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.197582	5.146227	2.633368	53.224117	1	53.188301	102.406670
2043	1000	2	3	3	0	1	0	0	1	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.143004	2.566357	51.581177	1	53.250477	102.406670
2044	1000	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0	19.50	17.75	2.190330	5.146227	2.631942	53.188301	1	53.131786	102.406670
2045	1000	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191136	5.143004	2.630516	53.193901	1	53.137352	102.406670
2046	1000	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.193553	5.143004	2.627665	53.122219	1	53.080853	102.406670
2047	1000	2	1	4	0	0	2	0	0	0	0	0	0	0	0	0	19.50	17.75	2.194359	5.146227	2.623387	52.973400	1	53.045036	102.406670
2048	1000	5	1	6	0	0	3	0	0	0	0	0	0	0	0	0	19.50	17.75	2.190330	5.138169	2.621962	53.040886	1	52.999531	102.406670
2049	1000	2	4	3	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.190330	5.143004	2.624813	53.050549	1	52.916958	102.406670
2050	1000	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.190330	5.147840	2.624813	52.988571	1	52.932140	102.406670
2051	1000	3	3	3	0	1	2	0	0	0	0	0	0	0	0	0	19.50	17.75	2.190330	5.144616	2.621962	52.958221	1	52.901772	102.406670
2052	1000	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.193553	5.147840	2.607704	52.558914	1	52.907196	102.406670
2053	1000	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.143004	2.616259	52.835514	1	52.702137	102.406670
2054	1000	5	3	1	0	1	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.144616	2.613407	52.743259	1	52.763844	102.406670
2055	1000	3	3	2	0	1	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.144616	2.613407	52.743259	1	52.615250	102.406670
2056	1000	2	2	3	0	1	1	0	1	0	0	1	0	0	0	0	19.50	17.75	2.193553	5.147840	2.613407	52.702137	1	52.666328	102.406670
2057	1000	5	4	3	0	3	2	0	1	0	0	1	0	0	0	0	19.50	17.75	2.191136	5.141392	2.599150	52.425941	1	52.676888	102.406670
2058	1000	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.144616	2.611981	52.707432	1	52.615250	102.406670
2059	1000	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.193553	5.146227	2.610556	52.651066	1	52.630524	102.406670
2060	1000	2	3	2	0	1	0	0	1	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.143004	2.607704	52.620491	1	52.620491	102.406670
2061	1000	3	2	3	0	1	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.146227	2.592021	52.185459	1	52.610428	102.406670
2062	1000	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.141392	2.603427	52.533493	1	52.512978	102.406670
2063	1000	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.141392	2.602001	52.497639	1	52.487461	102.406670
2064	1000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.143004	2.602001	52.477139	1	52.405464	102.406670
2065	1000	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.144616	2.602001	52.456646	1	52.441296	102.406670
2066	1000	3	4	1	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.141392	2.597724	52.390091	1	52.369617	102.406670
2067	1000	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.141392	2.596298	52.354237	1	52.297943	102.406670
2068	1000	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.143004	2.594872	52.297943	1	52.241684	102.406670
2069	1000	3	2	2	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.144616	2.594872	52.277512	1	52.185459	102.406670
2070	1000	2	1	5	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.192747	5.143004	2.592021	52.226265	1	52.302986	102.406670
2071	1000	3	1	2	0	1	1	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.143004	2.592021	52.226265	1	52.185459	102.406670
2072	1000	2	3	4	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.141392	2.589169	52.174992	1	52.139145	102.406670
2073	1000	6	3	6	0	1	1	0	2	0	0	1	0	0	0	0	19.50	17.75	2.192747	5.144616	2.589169	52.134201	1	52.042198	102.406670
2074	1000	3	2	4	0	0	2	0	0	0	0	0	0	0	0	0	19.50	17.75	2.193553	5.146227	2.586318	52.042198	1	52.042198	102.406670
2075	1000	2	3	1	0	2	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.190330	5.139781	2.572060	51.765083	1	52.036476	102.406670
2076	1000	4	4	1	0	2	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.191941	5.143004	2.586318	52.082912	1	52.026718	102.406670
2077	1000	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.188718	5.141392	2.582041	51.995750	1	51.939560	102.406670
2078	1000	2	5	7	0	1	1	0	2	0	0	0	0	0	0	0	19.50	17.75	2.189524	5.143004	2.579189	51.903728	1	51.933681	102.406670
2079	1000	3	5	1	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.75	2.187912	5.143004	2.620536	52.943027	1	51.944386	102.406670
2080	1000	3	4	2	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.50	2.183883	5.139781	2.579189	51.944386	1	51.832047	102.406670
2081	1000	2	4	2	0	0	0	0	1	0	0	0	0	0	0	0	19.50	17.50	2.182271	5.143004	2.576338	51.832047	1	51.525143	102.406670
2082	1000	1	6	3	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.50	2.186301	5.146227	2.576338	51.791485	1	51.771217	102.406670
2083	1000	2	4	4	0	1	1	0	0	0	0	0	0	0	0	0	19.50	17.50	2.184689	5.144616	2.576338	51.811760	1	51.775932	102.406670
2084	1000	6	2	5	0	0	3	0	0	0	0	0	0	0	0	0	19.50	17.50	2.183077	5.141392	2.570635	51.708950	1	51.836800	102.406670
2085	1000	4	7	4	0	2	0	0	0	0	0	0	0	0	0	0	19.50	17.50	2.177436	5.141392	2.569209	51.673107	1	51.673107	102.406670
2086	1000	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19.50	17.50	2.178242	5.143004	2.566357	51.581177	1	51.509499	102.406670
2087	1000	3	3	3	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.50	2.181465	5.143004	2.566357	51.581177	1	51.617023	102.406670
2088	1000	2	4	3	0	1	1	0	1	0	0	0	0	0	0	0	19.50	17.50	2.183077	5.144616	2.553525	51.238529	1	51.606014	102.406670
2089	1000	2	2	3	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.50	2.179853	5.141392	2.566357	51.601395	1	51.489307	102.406670
2090	1000	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	19.50	17.50	2.179048	5.143004	2.563506	51.509499	1	51.298893	102.406670
2091	1000	4	3	1	0	1	0	0	0	0	0	0	0	0	0	0	19.50	17.50	2.179048	5.141392	2.560654	51.458000	1	51.417660	102.406670
