quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2	1000	8	35	8	0	6	1	0	0	0	0	0	0	0	0	0	-0.50	-3.50	1.075018	4.624030	0.471925	0.266201	1	0.217175	0.232349
3	1000	10	20	10	1	7	3	1	4	1	1	3	1	1	1	1	-0.50	-3.50	1.075824	4.627253	0.470499	0.217175	1	0.203455	0.232349
4	1000	4	36	11	0	2	0	0	2	0	0	0	0	0	0	0	-0.50	-3.50	1.073407	4.617582	0.470499	0.244706	0	0.235516	0.232349
5	1000	5	24	4	0	5	0	0	2	0	0	0	0	0	0	0	-0.50	-3.50	1.075824	4.625641	0.469073	0.181909	1	0.177343	0.232349
6	1000	6	7	0	0	5	0	0	0	0	0	0	0	0	0	0	-0.50	-3.50	1.071795	4.609524	0.467647	0.187762	1	0.178597	0.232349
7	1000	4	24	8	1	4	1	1	3	1	1	1	1	1	1	1	-0.50	-3.50	1.075018	4.624030	0.470499	0.226339	1	0.217175	0.232349
8	1000	4	16	3	0	3	1	0	3	0	0	1	0	0	0	0	-0.50	-3.50	1.076630	4.627253	0.471925	0.257010	1	0.212598	0.232349
9	1000	3	17	9	0	1	0	0	0	0	0	0	0	0	0	0	-0.00	-3.50	1.074212	4.619194	0.470499	0.240110	1	0.200208	0.232349
10	1000	8	18	15	4	5	5	4	6	4	4	4	4	4	4	4	-0.00	-3.50	1.075824	4.620806	0.470499	0.235516	0	0.261604	0.232349
11	1000	9	26	17	4	5	5	4	8	4	4	4	4	4	4	4	-0.00	-3.50	1.075018	4.622418	0.470499	0.230925	1	0.186478	0.232349
12	1000	4	19	10	1	2	1	1	2	1	1	1	1	1	1	1	-0.00	-3.50	1.075018	4.619194	0.464796	0.080501	1	0.147775	0.232349
13	1000	8	25	20	0	3	0	0	6	0	0	0	0	0	0	0	-0.00	-3.50	1.073407	4.614359	0.467647	0.174020	1	0.204790	0.232349
14	1000	7	21	26	0	3	1	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.075824	4.620806	0.470499	0.235516	1	0.146620	0.232349
15	1000	4	30	15	0	1	1	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.075824	4.622418	0.471925	0.270801	1	0.186478	0.232349
16	1000	4	24	25	0	2	1	0	4	0	0	0	0	0	0	0	-0.00	-3.50	1.075018	4.619194	0.470499	0.240110	1	0.191051	0.232349
17	1000	8	23	21	0	2	0	0	8	0	0	0	0	0	0	0	-0.00	-3.50	1.076630	4.624030	0.467647	0.146620	0	0.240110	0.232349
18	1000	4	25	15	0	1	1	0	2	0	0	0	0	0	0	0	-0.00	-3.50	1.075018	4.619194	0.469073	0.200208	1	0.230925	0.232349
19	1000	3	14	14	0	1	0	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.076630	4.624030	0.469073	0.186478	1	0.217175	0.232349
20	1000	4	21	10	0	2	0	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.075018	4.617582	0.470499	0.244706	1	0.200208	0.232349
21	1000	5	12	4	0	2	0	0	0	0	0	0	0	0	0	0	-0.00	-3.50	1.077436	4.625641	0.469073	0.181909	1	0.212598	0.232349
22	1000	5	38	7	0	2	1	0	0	0	0	0	0	0	0	0	-0.00	-3.50	1.077436	4.624030	0.466222	0.106758	1	0.218555	0.232349
23	1000	3	38	7	0	2	0	0	1	0	0	0	0	0	0	0	-0.00	-3.50	1.076630	4.620806	0.469073	0.195628	1	0.226339	0.232349
24	1000	8	27	13	0	2	2	0	2	0	0	0	0	0	0	0	-0.00	-3.50	1.078242	4.627253	0.473350	0.296842	0	0.243248	0.232349
25	1000	4	18	14	0	0	0	0	5	0	0	0	0	0	0	0	-0.00	-3.50	1.079048	4.633700	0.470499	0.198887	1	0.208026	0.232349
26	1000	2	6	11	0	1	0	0	1	0	0	0	0	0	0	0	-0.00	-3.50	1.079048	4.627253	0.469073	0.177343	1	0.212598	0.232349
27	1000	5	14	15	0	2	2	0	1	0	0	0	0	0	0	0	-0.00	-3.50	1.076630	4.615971	0.470499	0.249304	1	0.160306	0.232349
28	1000	4	22	19	0	2	1	0	6	0	0	0	0	0	0	0	-0.00	-3.50	1.075824	4.615971	0.470499	0.249304	1	0.204790	0.232349
29	1000	5	19	18	0	0	1	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.077436	4.620806	0.470499	0.235516	0	0.244706	0.232349
30	1000	3	19	21	0	1	1	0	2	0	0	0	0	0	0	0	-0.00	-3.50	1.077436	4.622418	0.471925	0.270801	0	0.266201	0.232349
31	1000	7	21	18	0	3	4	0	6	0	0	1	0	0	0	0	-0.00	-3.50	1.080659	4.632088	0.467647	0.123873	1	0.217175	0.232349
32	1000	9	14	7	0	7	0	0	1	0	0	0	0	0	0	0	-0.00	-3.50	1.077436	4.619194	0.470499	0.240110	1	0.137512	0.232349
33	1000	4	18	14	0	2	0	0	5	0	0	0	0	0	0	0	-0.00	-3.50	1.076630	4.617582	0.469073	0.204790	1	0.200208	0.232349
34	1000	3	19	18	0	1	1	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.078242	4.620806	0.470499	0.235516	1	0.191051	0.232349
35	1000	3	26	23	0	0	0	0	5	0	0	0	0	0	0	0	-0.00	-3.50	1.079048	4.624030	0.471925	0.266201	1	0.217175	0.232349
36	1000	3	18	16	0	1	1	0	0	0	0	0	0	0	0	0	-0.00	-3.50	1.079854	4.628865	0.516123	1.486802	0	0.249304	0.232349
37	1000	1	17	35	0	0	0	0	7	0	0	0	0	0	0	0	-0.00	-3.50	1.077436	4.615971	0.470499	0.249304	1	0.191051	0.232349
38	1000	3	10	22	0	1	2	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.078242	4.619194	0.470499	0.240110	1	0.191051	0.232349
39	1000	2	26	19	0	1	0	0	5	0	0	0	0	0	0	0	-0.00	-3.50	1.079048	4.622418	0.470499	0.230925	1	0.186478	0.232349
40	1000	5	14	16	0	0	1	0	3	0	0	0	0	0	0	0	-0.00	-3.50	1.079854	4.622418	0.470499	0.230925	1	0.181909	0.232349
41	1000	4	16	13	0	0	1	0	4	0	0	0	0	0	0	0	-0.00	-3.50	1.078242	4.619194	0.469073	0.200208	1	0.200208	0.232349
42	1000	3	20	16	0	0	1	0	6	0	0	0	0	0	0	0	-0.00	-3.50	1.078242	4.617582	0.467647	0.164874	1	0.164874	0.232349
43	1000	3	19	18	0	1	1	0	4	0	0	0	0	0	0	0	-0.00	-3.50	1.079048	4.617582	0.469073	0.204790	1	0.155741	0.232349
44	1000	4	26	25	0	0	1	0	6	0	0	0	0	0	0	0	-0.00	-3.50	1.080659	4.625641	0.470499	0.221756	1	0.181909	0.232349
45	1000	4	14	15	0	0	1	0	2	0	0	0	0	0	0	0	-0.00	-3.50	1.079854	4.622418	0.471925	0.270801	0	0.244706	0.232349
46	1000	8	17	16	0	1	0	0	4	0	0	0	0	0	0	0	-0.00	-3.50	1.078242	4.614359	0.469073	0.213964	0	0.244706	0.232349
47	1000	3	14	21	0	0	0	0	0	0	0	0	0	0	0	0	-0.00	-3.50	1.079854	4.622418	0.469073	0.191051	1	0.221756	0.232349
48	1000	3	28	21	0	1	0	0	8	0	0	0	0	0	0	0	-0.00	-3.25	1.079854	4.615971	0.470499	0.249304	1	0.195628	0.232349
49	1000	5	30	23	0	1	0	0	8	0	0	0	0	0	0	0	-0.00	-3.25	1.082271	4.630476	0.470499	0.208026	1	0.208026	0.232349
50	1000	2	17	9	0	0	0	0	2	0	0	0	0	0	0	0	-0.00	-3.25	1.081465	4.624030	0.466222	0.106758	1	0.200208	0.232349
51	1000	5	24	22	0	1	2	0	11	0	0	0	0	0	0	0	-0.00	-3.25	1.079854	4.615971	0.469073	0.209374	1	0.195628	0.232349
52	1000	6	15	15	0	2	0	0	2	0	0	0	0	0	0	0	-0.00	-3.25	1.081465	4.624030	0.469073	0.186478	0	0.266201	0.232349
53	1000	4	24	26	0	0	2	0	4	0	0	0	0	0	0	0	-0.00	-3.25	1.081465	4.624030	0.469073	0.186478	1	0.221756	0.232349
54	1000	5	15	10	0	2	1	0	1	0	0	0	0	0	0	0	-0.00	-3.25	1.083077	4.627253	0.469073	0.177343	1	0.212598	0.232349
55	1000	2	13	18	0	0	0	0	3	0	0	0	0	0	0	0	-0.00	-3.25	1.083883	4.628865	0.467647	0.132962	0	0.252419	0.232349
56	1000	3	13	13	0	0	0	0	3	0	0	0	0	0	0	0	-0.00	-3.25	1.082271	4.627253	0.470499	0.217175	1	0.212598	0.232349
58	1000	4	22	16	0	0	1	0	5	0	0	0	0	0	0	0	-0.00	-3.25	1.081465	4.624030	0.470499	0.226339	0	0.235516	0.232349
59	1000	4	13	17	0	0	1	0	3	0	0	0	0	0	0	0	-0.00	-3.25	1.081465	4.622418	0.469073	0.191051	1	0.226339	0.232349
60	1000	4	18	17	1	1	1	1	4	1	1	1	1	1	1	1	-0.00	-3.25	1.079854	4.614359	0.464796	0.094131	1	0.223150	0.232349
61	1000	9	20	16	0	3	2	0	4	0	0	1	0	0	0	0	-0.00	-3.25	1.080659	4.617582	0.469073	0.204790	1	0.075964	0.232349
62	1000	3	16	15	0	0	0	0	3	0	0	0	0	0	0	0	-0.00	-3.25	1.080659	4.617582	0.469073	0.204790	1	0.200208	0.232349
63	1000	3	13	19	0	1	0	0	4	0	0	0	0	0	0	0	-0.00	-3.25	1.083077	4.624030	0.467647	0.146620	1	0.146620	0.232349
64	1000	0	22	20	0	0	0	0	3	0	0	0	0	0	0	0	-0.00	-3.25	1.082271	4.617582	0.470499	0.244706	1	0.221756	0.232349
65	1000	4	22	14	0	0	0	0	4	0	0	0	0	0	0	0	-0.00	-3.25	1.082271	4.619194	0.466222	0.120403	0	0.249304	0.232349
