quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2	1000	4	24	27	0	1	0	0	4	0	0	0	0	0	0	0	0.50	-2.25	1.124176	4.624030	0.491885	0.824247	0	0.884711	0.774834
3	1000	1	26	18	0	0	0	0	3	0	0	0	0	0	0	0	0.50	-2.25	1.124176	4.627253	0.489034	0.735001	0	0.894333	0.774834
4	1000	0	19	26	0	0	0	0	7	0	0	0	0	0	0	0	0.50	-2.25	1.123370	4.624030	0.491885	0.824247	0	0.824247	0.774834
5	1000	0	23	23	0	0	0	0	3	0	0	0	0	0	0	0	0.50	-2.25	1.124982	4.627253	0.494737	0.894333	0	0.889520	0.774834
6	1000	0	16	21	0	0	0	0	4	0	0	0	0	0	0	0	0.50	-2.25	1.124982	4.627253	0.491885	0.814668	0	0.884711	0.774834
7	1000	0	27	34	0	0	0	0	7	0	0	0	0	0	0	0	0.50	-2.25	1.123370	4.622418	0.493311	0.868916	0	0.864108	0.774834
8	1000	0	21	24	0	0	0	0	6	0	0	0	0	0	0	0	0.50	-2.25	1.124176	4.627253	0.490459	0.774834	0	0.899149	0.774834
9	1000	1	26	22	0	0	0	0	3	0	0	0	0	0	0	0	0.50	-2.25	1.124982	4.622418	0.493311	0.868916	0	0.789168	0.774834
10	1000	0	19	14	0	0	0	0	0	0	0	0	0	0	0	0	0.50	-2.25	1.124982	4.625641	0.494737	0.899149	0	0.913618	0.774834
11	1000	0	27	20	0	0	0	0	4	0	0	0	0	0	0	0	0.50	-2.25	1.125788	4.627253	0.490459	0.774834	0	0.929339	0.774834
12	1000	0	27	21	0	0	0	0	5	0	0	0	0	0	0	0	0.50	-2.25	1.125788	4.627253	0.494737	0.894333	0	0.938994	0.774834
13	1000	0	23	37	0	0	0	0	6	0	0	0	0	0	0	0	0.50	-2.25	1.124982	4.624030	0.496162	0.943829	0	0.894333	0.774834
14	1000	0	19	25	0	0	0	0	6	0	0	0	0	0	0	0	0.50	-2.25	1.125788	4.627253	0.496162	0.934164	0	0.924516	0.774834
15	1000	0	12	18	0	0	0	0	3	0	0	0	0	0	0	0	0.50	-2.25	1.126593	4.627253	0.496162	0.934164	0	0.844906	0.774834
16	1000	2	25	18	0	0	2	0	3	0	0	0	0	0	0	0	0.50	-2.25	1.127399	4.628865	0.491885	0.809883	0	0.924516	0.774834
17	1000	4	24	25	0	1	0	0	4	0	0	0	0	0	0	0	0.50	-2.25	1.126593	4.628865	0.402063	-1.698706	0	0.943829	0.774834
