quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
2012	1000	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.790550	4.480586	2.442317	57.539398	0	57.457111	0.774834
2013	1000	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0	-7.50	-11.00	0.791355	4.483809	2.442317	57.488739	0	57.463436	0.774834
2014	1000	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.791355	4.478974	2.442317	57.564754	0	57.700321	0.774834
2015	1000	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.790550	4.482198	2.445168	57.596302	0	57.570950	0.774834
2016	1000	3	4	1	0	2	0	0	1	0	0	0	0	0	0	0	-7.50	-11.00	0.792161	4.485421	2.446594	57.586712	0	57.612061	0.774834
2017	1000	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.791355	4.478974	2.446594	57.688206	0	57.662804	0.774834
2018	1000	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.792161	4.480586	2.448020	57.703938	0	57.583302	0.774834
2019	1000	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.792161	4.482198	2.453723	57.843033	0	57.760788	0.774834
2020	1000	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.792161	4.478974	2.450871	57.811661	0	57.811661	0.774834
2021	1000	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.792161	4.480586	2.453723	57.868484	0	57.801910	0.774834
2022	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.792967	4.506374	2.469406	57.913261	0	57.909626	0.774834
2023	1000	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.793773	4.482198	2.456574	57.925270	0	57.991894	0.774834
2024	1000	2	4	3	0	1	0	0	1	0	0	0	0	0	0	0	-7.50	-11.00	0.792967	4.480586	2.455148	57.909626	0	57.925270	0.774834
2025	1000	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.793773	4.482198	2.458000	57.966393	0	57.956535	0.774834
2026	1000	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.793773	4.482198	2.460851	58.048637	0	58.048637	0.774834
2027	1000	3	3	2	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.801832	4.530550	2.466554	57.453880	0	58.140869	0.774834
2028	1000	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.793773	4.478974	2.462277	58.140869	0	58.115307	0.774834
2029	1000	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.795385	4.483809	2.465129	58.146450	0	58.187553	0.774834
2030	1000	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.794579	4.480586	2.463703	58.156441	0	58.172001	0.774834
2031	1000	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.794579	4.478974	2.489367	58.922745	0	58.289948	0.774834
2032	1000	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-10.75	0.796996	4.478974	2.467980	58.305470	0	58.305470	0.774834
2033	1000	3	0	4	0	0	2	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.794579	4.480586	2.467980	58.279850	0	58.279850	0.774834
2034	1000	1	2	3	0	0	1	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.795385	4.480586	2.470832	58.362122	0	58.336491	0.774834
2035	1000	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.795385	4.482198	2.473683	58.418736	0	58.270561	0.774834
2036	1000	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	-7.50	-11.00	0.801832	4.528938	2.507901	58.659157	0	58.470085	0.774834
