quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure	PBS	CurrMeasurement	MeanMeasurement
3519	1000	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.632674	4.822271	4.290093	102.081902	0	102.005272	0.774834
3520	1000	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.634286	4.823883	4.290093	102.043480	0	101.355675	0.774834
3521	1000	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	11.50	8.50	1.633480	4.819048	4.287242	102.082344	0	101.967239	0.774834
3522	1000	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	11.50	8.50	1.635898	4.827106	4.294371	102.081268	0	101.852020	0.774834
3523	1000	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.636703	4.823883	4.291519	102.081688	0	101.966698	0.774834
3524	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.635898	4.823883	4.290093	102.043480	0	101.928528	0.774834
3525	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.637509	4.825495	4.290093	102.005081	0	101.852150	0.774834
3526	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.638315	4.825495	4.288668	101.966881	0	101.928528	0.774834
3527	1000	3	3	1	0	3	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.639121	4.827106	4.292945	102.043076	0	101.890030	0.774834
3528	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.641539	4.830330	4.294371	102.004524	0	101.966179	0.774834
3529	1000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.641539	4.830330	4.272985	101.432137	0	102.119690	0.774834
3530	1000	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	11.50	8.50	1.639121	4.823883	4.295797	102.196335	0	102.081268	0.774834
3531	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.50	1.640733	4.827106	4.292945	102.043076	0	102.004707	0.774834
3532	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.642344	4.827106	4.294371	102.081268	0	102.081062	0.774834
3533	1000	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.643150	4.828718	4.295797	102.081062	0	101.928528	0.774834
3534	1000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.643150	4.823883	4.271559	101.546768	0	102.081688	0.774834
3535	1000	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.643956	4.828718	4.297223	102.119217	0	102.004341	0.774834
3536	1000	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.644762	4.827106	4.294371	102.081268	0	101.966698	0.774834
3537	1000	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.645568	4.830330	4.295797	102.042679	0	102.042679	0.774834
3538	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.646374	4.830330	4.268707	101.317665	0	102.081688	0.774834
3539	1000	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.646374	4.828718	4.298648	102.157402	0	101.928040	0.774834
3540	1000	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.646374	4.828718	4.292945	102.004707	0	101.890030	0.774834
3541	1000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.647985	4.830330	4.295797	102.042679	0	101.966179	0.774834
3542	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.649597	4.833553	4.297223	102.004143	0	101.508461	0.774834
3543	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.650403	4.830330	4.278687	101.584770	0	102.004524	0.774834
3544	1000	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.651209	4.833553	4.298648	102.042274	0	101.965652	0.774834
3545	1000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.651209	4.836777	4.301500	102.041870	0	101.927383	0.774834
3546	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	8.75	1.652821	4.835165	4.298648	102.003960	0	101.851326	0.774834
3547	1000	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	9.00	1.653626	4.836777	4.275836	101.355934	0	102.004524	0.774834
3548	1000	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	11.50	9.00	1.652015	4.827106	4.294371	102.081268	0	101.889877	0.774834
3549	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	9.00	1.653626	4.831942	4.297223	102.042473	0	101.966011	0.774834
3550	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11.50	9.00	1.655238	4.836777	4.300074	102.003761	0	101.965652	0.774834
3551	1000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.656044	4.836777	4.300074	102.003761	0	101.889290	0.774834
3552	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.50	9.00	1.658462	4.835165	4.281539	101.546509	0	102.042274	0.774834
3553	1000	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	12.00	9.00	1.656044	4.833553	4.297223	102.004143	0	101.965820	0.774834
3554	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.656850	4.833553	4.300074	102.080406	0	101.813217	0.774834
3555	1000	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.658462	4.836777	4.301500	102.041870	0	101.851059	0.774834
3556	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.658462	4.836777	4.301500	102.041870	0	101.965652	0.774834
3557	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.657656	4.828718	4.297223	102.119217	0	102.004524	0.774834
3558	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.658462	4.833553	4.298648	102.042274	0	102.004143	0.774834
3559	1000	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.660073	4.835165	4.298648	102.003960	0	101.927544	0.774834
3560	1000	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.661685	4.838388	4.298648	101.927383	0	101.889137	0.774834
3561	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.660879	4.836777	4.272985	101.279701	0	102.118996	0.774834
3562	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.660879	4.833553	4.301500	102.118538	0	102.042061	0.774834
3563	1000	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.662491	4.835165	4.298648	102.003960	0	101.851326	0.774834
3564	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.664103	4.838388	4.301500	102.003571	0	102.003380	0.774834
3565	1000	2	1	3	0	0	1	0	0	0	0	0	0	0	0	0	12.00	9.00	1.665714	4.843224	4.305777	102.002998	0	102.003189	0.774834
3566	1000	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	12.00	9.00	1.665714	4.838388	4.284390	101.546425	0	102.079979	0.774834
3567	1000	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.665714	4.838388	4.305777	102.117851	0	101.927048	0.774834
3568	1000	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	12.00	9.25	1.666520	4.840000	4.305777	102.079544	0	102.003189	0.774834
3569	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.668132	4.841612	4.308629	102.117393	0	102.002998	0.774834
3570	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.00	1.668938	4.849670	4.291519	101.470146	0	102.194298	0.774834
3571	1000	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	12.00	9.25	1.668132	4.840000	4.307203	102.117630	0	102.003189	0.774834
3572	1000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.669744	4.840000	4.307203	102.117630	0	101.965118	0.774834
3573	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.669744	4.840000	4.302926	102.003380	0	102.041458	0.774834
3574	1000	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	12.00	9.25	1.672967	4.846447	4.311480	102.078682	0	102.079323	0.774834
3575	1000	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.671355	4.838388	4.287242	101.622620	0	102.041458	0.774834
3576	1000	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	12.00	9.25	1.672967	4.844835	4.310054	102.078903	0	101.964592	0.774834
3577	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.673773	4.846447	4.311480	102.078682	0	101.926399	0.774834
3578	1000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.673773	4.843224	4.307203	102.041054	0	101.888519	0.774834
3579	1000	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.674579	4.843224	4.288668	101.546310	0	102.041870	0.774834
3580	1000	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.675385	4.840000	4.305777	102.079544	0	102.040848	0.774834
3581	1000	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12.00	9.25	1.676996	4.846447	4.310054	102.040649	0	102.002426	0.774834
