time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1444474279	29	35	30	35	4	1	0	5	7	4	1	0	0	1	0	4.946374	0.528955	0.528955	0.526103	1.442491	3.500000	6.000000	0.896899	0.859637	0.785111	0	0	1	1	155	1164663
1444474281	47	26	30	31	5	3	2	2	0	1	1	0	0	0	0	4.941538	0.527529	0.528955	0.527529	1.443297	3.750000	6.000000	0.873128	0.873128	0.761231	0	0	1	1	155	1219256
1444474282	32	40	38	38	3	2	1	2	0	6	0	0	0	0	0	4.943151	0.528955	0.527529	0.523252	1.441685	3.500000	6.000000	0.905915	0.868628	0.719479	0	0	1	1	155	1167395
1444474283	35	33	31	35	5	0	1	5	5	5	0	0	0	0	0	4.943151	0.528955	0.528955	0.523252	1.442491	3.500000	6.000000	0.905915	0.868628	0.719479	0	0	1	1	155	1201824
1444474284	38	42	41	40	4	2	4	4	5	4	0	0	1	0	0	4.941538	0.528955	0.528955	0.523252	1.441685	3.500000	6.000000	0.873128	0.835829	0.723931	0	0	1	1	155	1167395
1444474285	27	30	36	32	3	1	4	1	1	9	0	0	1	0	0	4.944762	0.526103	0.527529	0.524677	1.442491	3.500000	6.000000	0.901405	0.826856	0.752306	0	0	1	1	155	1167419
1444474287	40	37	34	31	3	5	2	2	0	4	0	0	2	0	0	4.939927	0.528955	0.527529	0.523252	1.440879	3.500000	6.000000	0.877631	0.840319	0.728385	0	0	1	1	155	1170008
1444474288	34	37	29	35	5	2	3	2	2	7	1	0	0	0	0	4.943151	0.527529	0.527529	0.518974	1.441685	3.500000	6.000000	0.905915	0.831341	0.719479	0	0	1	1	155	1168550
1444474289	40	37	39	39	6	3	3	2	4	2	0	0	0	0	0	4.943151	0.528955	0.528955	0.523252	1.441685	3.500000	6.000000	0.868628	0.756766	0.719479	0	0	1	1	155	1167428
1444474290	43	32	39	35	7	6	4	3	0	9	1	0	1	0	0	4.941538	0.528955	0.527529	0.521826	1.441685	3.500000	6.000000	0.835829	0.835829	0.723931	0	0	1	1	155	1164680
1444474291	41	31	27	29	6	2	0	2	4	1	0	0	0	0	0	4.943151	0.528955	0.527529	0.523252	1.441685	3.500000	6.000000	0.868628	0.868628	0.719479	0	0	1	1	155	1167404
1444474293	42	40	34	35	3	3	2	3	2	5	0	0	1	1	0	4.943151	0.528955	0.527529	0.523252	1.441685	3.500000	6.000000	0.905915	0.868628	0.756766	0	0	1	1	155	1167429
1444474294	30	33	38	31	4	3	1	6	2	5	1	0	0	0	0	4.944762	0.527529	0.528955	0.523252	1.441685	3.500000	6.000000	0.752306	0.789581	0.640481	0	0	1	1	155	1167428
1444474295	43	40	38	37	6	6	3	3	8	6	0	1	0	0	0	4.943151	0.528955	0.527529	0.521826	1.441685	3.500000	6.000000	0.905915	0.943204	0.719479	0	0	1	1	155	1164695
1444474296	45	39	44	37	7	4	1	6	2	5	0	0	1	1	0	4.943151	0.528955	0.528955	0.523252	1.440879	3.500000	6.000000	0.905915	0.868628	0.756766	0	0	1	1	155	1167404
1444474297	37	42	43	36	7	3	0	3	5	5	0	0	0	0	0	4.941538	0.528955	0.528955	0.523252	1.440879	3.500000	6.000000	0.910427	0.835829	0.649333	0	0	1	1	155	1167429
1444474299	42	39	42	41	3	3	3	5	5	2	0	1	0	0	0	4.941538	0.528955	0.528955	0.524677	1.440879	3.500000	6.000000	0.910427	0.835829	0.723931	0	0	1	1	155	1164657
1444474300	30	33	38	40	3	4	1	3	3	6	0	0	0	0	0	4.941538	0.528955	0.528955	0.523252	1.440879	3.500000	6.000000	0.910427	0.835829	0.723931	0	0	1	1	155	1168541
1444474301	30	33	37	34	5	0	1	3	6	4	0	0	0	0	0	4.944762	0.528955	0.528955	0.523252	1.441685	3.500000	6.000000	0.901405	0.864131	0.677756	0	0	1	1	155	1167419
1444474302	29	45	45	32	4	5	1	6	2	6	0	0	0	2	0	4.943151	0.528955	0.527529	0.523252	1.440879	3.500000	6.000000	0.905915	0.868628	0.607617	0	0	1	1	155	1164678
1444474303	28	25	40	43	2	0	0	0	3	12	0	0	0	0	0	4.944762	0.524677	0.528955	0.523252	1.440879	3.500000	6.000000	0.826856	0.826856	0.715030	0	0	1	1	155	1167395
1444474305	32	35	37	43	3	3	3	4	4	7	0	0	1	0	0	4.944762	0.527529	0.527529	0.523252	1.440073	3.500000	6.000000	0.901405	0.864131	0.715030	0	0	1	1	156	1167440
1444474306	41	40	32	43	10	6	5	2	5	9	1	3	2	0	1	4.943151	0.526103	0.527529	0.523252	1.440073	3.500000	6.000000	0.831341	0.831341	0.719479	0	0	1	1	155	1164665
1444474307	39	42	40	39	5	3	4	4	2	7	1	1	2	0	1	4.943151	0.526103	0.528955	0.521826	1.438462	3.500000	6.000000	0.831341	0.868628	0.756766	0	0	1	1	156	1167416
1444474308	36	40	28	33	5	4	0	3	2	1	0	0	0	0	0	4.944762	0.526103	0.528955	0.523252	1.440073	3.500000	6.000000	0.826856	0.864131	0.789581	0	0	1	1	155	1167414
1444474309	34	21	34	34	1	0	2	1	0	6	0	0	0	0	0	4.943151	0.526103	0.528955	0.523252	1.440879	3.500000	6.000000	0.794054	0.831341	0.756766	0	0	1	1	155	1167419
1444474311	34	48	34	38	6	3	1	3	2	7	0	0	0	1	0	4.943151	0.527529	0.528955	0.523252	1.439268	3.500000	6.000000	0.831341	0.868628	0.719479	0	0	1	1	155	1164661
1444474312	31	33	29	33	3	1	2	5	1	7	0	0	0	1	0	4.941538	0.526103	0.527529	0.524677	1.439268	3.500000	6.000000	0.835829	0.835829	0.723931	0	0	1	1	155	1168550
1444474313	26	36	27	36	2	1	5	2	3	2	0	0	0	0	0	4.943151	0.527529	0.528955	0.523252	1.440073	3.500000	6.000000	0.682191	0.831341	0.607617	0	0	1	1	155	1167428
1444474314	35	38	32	39	4	0	1	1	1	6	0	0	0	0	0	4.941538	0.527529	0.528955	0.523252	1.439268	3.500000	6.000000	0.910427	0.985028	0.761231	0	0	1	1	155	1164697
1444474315	33	26	36	25	3	1	3	1	2	4	0	0	0	0	0	4.943151	0.526103	0.527529	0.523252	1.440073	3.500000	6.000000	0.831341	0.868628	0.756766	0	0	1	1	155	1167404
1444474317	32	33	37	45	4	2	4	3	3	5	1	1	0	0	0	4.944762	0.526103	0.527529	0.523252	1.440073	3.500000	6.000000	0.789581	0.864131	0.789581	0	0	1	1	155	1167429
1444474318	39	24	39	38	3	1	5	2	4	7	0	2	1	0	0	4.943151	0.526103	0.526103	0.523252	1.439268	3.500000	6.000000	0.831341	0.756766	0.719479	0	0	1	1	155	1164675
1444474319	32	43	37	38	7	2	2	1	3	8	0	0	1	1	0	4.938315	5.838461	0.526103	0.526103	1.437656	3.500000	6.000000	0.994110	0.956786	0.732842	0	0	1	1	155	1167404
1444474320	24	38	33	47	4	1	2	2	9	4	0	1	0	1	0	4.943151	0.526103	0.526103	0.523252	1.440073	3.500000	6.000000	0.831341	0.794054	0.756766	0	0	1	1	155	1167426
1444474321	36	28	33	30	3	2	2	2	1	5	2	0	0	0	0	4.943151	0.527529	0.526103	0.523252	1.439268	3.500000	6.000000	0.868628	0.794054	0.756766	0	0	1	1	155	1167428
1444474323	36	37	35	27	4	2	1	2	1	5	0	0	0	0	0	4.943151	0.526103	0.526103	0.523252	1.438462	3.500000	6.000000	0.831341	0.570331	0.644904	0	0	1	1	155	1164670
1444474324	42	35	33	35	6	1	3	2	2	10	0	0	1	1	0	4.941538	0.526103	0.524677	0.523252	1.438462	3.500000	6.000000	0.835829	0.798530	0.723931	0	0	1	1	155	1168543
1444474325	33	26	47	31	3	2	1	3	3	5	0	1	0	0	0	4.943151	0.527529	0.526103	0.523252	1.438462	3.500000	6.000000	0.831341	0.831341	0.719479	0	0	1	1	156	1167440
1444474326	30	42	30	23	3	1	0	5	4	3	0	0	0	0	0	4.943151	0.526103	0.524677	0.523252	1.438462	3.500000	6.000000	0.831341	0.756766	0.719479	0	0	1	1	155	1164655
1444474327	46	33	26	41	4	8	9	1	6	4	0	1	2	0	0	4.944762	0.527529	0.526103	0.523252	1.438462	3.500000	6.000000	0.752306	0.789581	0.752306	0	0	1	1	155	1167391
1444474329	30	32	41	37	3	3	0	1	4	6	1	0	0	0	0	4.944762	0.526103	0.526103	0.521826	1.438462	3.500000	6.000000	0.789581	0.789581	0.715030	0	0	1	1	155	1167419
1444474330	30	40	40	31	3	3	4	2	2	2	0	0	1	0	0	4.944762	0.527529	0.524677	0.523252	1.438462	3.500000	6.000000	0.826856	0.789581	0.715030	0	0	1	1	155	1164660
1444474331	37	37	30	29	8	1	2	1	9	4	0	2	0	0	0	4.943151	0.526103	0.526103	0.523252	1.438462	3.500000	6.000000	0.831341	0.794054	0.756766	0	0	1	1	155	1167394
1444474332	37	31	26	30	5	3	3	4	3	2	1	0	0	0	0	4.944762	0.527529	0.526103	0.523252	1.438462	3.500000	6.000000	0.826856	0.603207	0.677756	0	0	1	1	155	1167419
1444474333	34	39	34	38	6	4	1	5	2	7	1	0	0	0	0	4.943151	0.526103	0.526103	0.523252	1.436850	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	155	1167419
1444474335	43	34	40	36	1	4	2	2	2	4	0	0	0	0	0	4.941538	0.526103	0.521826	0.523252	1.438462	3.500000	6.000000	0.835829	0.798530	0.723931	0	0	1	1	155	1164702
1444474336	32	40	33	42	7	3	3	5	5	7	1	1	1	1	1	4.943151	0.526103	0.526103	0.523252	1.437656	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	155	1168654
1444474337	34	35	25	34	7	1	1	2	3	2	1	0	0	0	0	4.943151	0.524677	0.524677	0.520400	1.438462	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	155	1167428
1444474338	38	37	37	32	6	3	1	7	5	1	0	1	0	1	0	4.941538	0.526103	0.524677	0.518974	1.438462	3.500000	6.000000	0.835829	0.798530	0.686632	0	0	1	1	155	1164668
1444474339	42	39	29	23	4	2	1	1	4	4	0	0	0	0	0	4.943151	0.526103	0.526103	0.520400	1.437656	3.500000	6.000000	0.831341	0.644904	0.794054	0	0	1	1	155	1167404
1444474341	33	29	35	41	2	1	0	2	1	5	0	0	0	0	0	4.943151	0.526103	0.526103	0.520400	1.437656	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	155	1167428
1444474342	32	29	33	30	4	5	1	4	3	6	1	1	1	2	1	4.943151	0.526103	0.526103	0.520400	1.437656	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	155	1164664
1444474343	29	35	42	26	4	1	1	4	4	3	0	0	0	0	0	4.941538	0.524677	0.526103	0.520400	1.436850	3.500000	6.000000	0.835829	0.798530	0.649333	0	0	1	1	155	1167405
1444474344	47	54	35	29	4	0	3	10	3	4	0	0	0	0	0	4.944762	0.526103	0.526103	0.521826	1.437656	3.500000	6.000000	0.789581	0.789581	0.677756	0	0	1	1	155	1167429
1444474345	32	46	20	29	3	1	2	1	2	4	0	0	1	1	0	4.943151	0.524677	0.526103	0.520400	1.436850	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	156	1164665
1444474347	34	31	39	37	5	0	2	1	4	3	0	1	0	0	0	4.943151	0.526103	0.524677	0.521826	1.435238	3.500000	6.000000	0.756766	0.794054	0.682191	0	0	1	1	155	1167399
1444474348	32	40	24	45	3	2	2	3	4	1	0	0	0	0	0	4.943151	0.527529	0.526103	0.521826	1.436850	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	155	1168565
1444474349	33	27	29	40	4	1	2	2	3	6	0	1	0	0	0	4.943151	0.526103	0.526103	0.521826	1.436850	3.500000	6.000000	0.831341	0.756766	0.644904	0	0	1	1	155	1167419
1444474350	29	40	32	28	6	1	0	7	3	1	0	0	0	1	0	4.943151	0.526103	0.526103	0.520400	1.437656	3.500000	6.000000	0.831341	0.794054	0.682191	0	0	1	1	155	1164664
1444474351	33	30	34	33	3	1	0	4	1	2	0	0	0	0	0	4.946374	0.526103	0.524677	0.520400	1.436850	3.500000	6.000000	0.822375	0.598798	0.598798	0	0	1	1	155	1167394
1444474353	35	30	39	33	4	1	2	3	6	6	0	0	1	0	0	4.943151	0.526103	0.523252	0.520400	1.436850	3.500000	6.000000	0.831341	0.794054	0.644904	0	0	1	1	155	1167419
1444474354	33	39	36	37	7	2	2	4	1	4	0	0	0	0	0	4.939927	0.526103	0.526103	0.521826	1.436044	3.500000	6.000000	0.840319	0.803008	0.691074	0	0	1	1	155	1164663
