time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.304350	4.288667	4.291519	2.191136	19.250000	23.000000	99.679634	99.306763	99.306763	0	0	1	1	-1	0
2	1	4	1	2	0	0	0	0	1	0	0	0	0	0	0	4.941538	4.304350	4.287241	4.292944	2.189524	19.250000	23.000000	99.641769	99.231468	99.306068	0	0	0	1	140	1350821
3	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.291519	4.292944	4.285816	2.187106	19.250000	23.000000	99.752022	99.341316	99.453339	0	0	0	1	147	1367644
5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.302925	4.287241	4.288667	2.188718	19.250000	23.000000	99.715805	99.380005	99.342690	0	0	1	1	147	1201942
6	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.301499	4.285816	4.290093	2.188718	19.250000	23.000000	99.715805	99.268059	99.342690	0	0	1	1	147	1151544
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.302925	4.288667	4.290093	2.188718	19.250000	23.000000	99.641769	99.231468	99.231468	0	0	1	1	147	1151571
8	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4.943151	4.302925	4.285816	4.287241	2.188718	19.250000	23.000000	99.679634	99.194893	99.306763	0	0	1	1	147	1170508
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.302925	4.288667	4.288667	2.189524	19.250000	23.000000	99.641769	99.231468	99.306068	0	0	1	1	147	1151606
10	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.302925	4.287241	4.288667	2.188718	19.250000	23.000000	99.641769	99.231468	99.306068	0	0	1	1	147	1151529
12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.302925	4.290093	4.288667	2.188718	19.250000	23.000000	99.641769	99.343376	99.231468	0	0	0	1	148	1151467
13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.302925	4.290093	4.290093	2.187106	19.250000	23.000000	99.715805	99.454628	99.417313	0	0	0	1	148	1165399
14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.302925	4.287241	4.291519	2.188718	19.250000	23.000000	99.678497	99.380005	99.342690	0	0	0	1	148	1152606
15	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.300073	4.285816	4.288667	2.188718	19.250000	23.000000	99.603874	99.268059	99.342690	0	0	0	1	148	1151379
16	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.305777	4.288667	4.288667	2.188718	19.250000	23.000000	99.678497	99.268059	99.268059	0	0	0	1	148	1165311
18	1	0	1	5	0	0	0	0	0	1	0	0	0	0	0	4.939927	4.301499	4.288667	4.290093	2.187912	19.250000	23.000000	99.678497	99.380005	99.268059	0	0	0	1	148	1151518
19	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.305777	4.288667	4.291519	2.187106	19.250000	23.000000	99.827217	99.416656	99.416656	0	0	0	1	148	1151540
20	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.302925	4.285816	4.288667	2.188718	19.250000	23.000000	99.641174	99.268059	99.342690	0	0	0	1	148	1151478
21	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.302925	4.290093	4.290093	2.188718	19.250000	23.000000	99.678497	99.268059	99.305382	0	0	0	1	148	1165415
22	3	2	2	2	0	1	0	0	0	1	0	0	0	0	0	4.938315	4.304350	4.285816	4.288667	2.187912	19.250000	23.000000	99.677917	99.304680	99.379326	0	0	0	1	148	1151518
24	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.304350	4.288667	4.290093	2.187912	19.250000	23.000000	99.753120	99.342690	99.417313	0	0	0	1	148	1151540
25	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.302925	4.290093	4.292944	2.187106	19.250000	23.000000	99.752571	99.379326	99.416656	0	0	0	1	148	1164478
26	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.302925	4.288667	4.288667	2.186301	19.250000	23.000000	99.530479	99.157608	99.269463	0	0	0	1	148	1152518
27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.302925	4.287241	4.290093	2.187912	19.250000	23.000000	99.567169	99.194176	99.306068	0	0	0	1	148	1151035
28	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.297222	4.284390	4.288667	2.187106	19.250000	23.000000	99.494453	99.159088	99.196342	0	0	1	1	148	1150977
30	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.302925	4.291519	4.290093	2.187106	19.250000	23.000000	99.491936	99.044197	99.342690	0	0	1	1	148	1164592
31	2	1	0	3	0	0	1	0	1	0	0	0	0	0	0	4.943151	4.300073	4.287241	4.278687	2.185495	19.250000	23.000000	99.716911	99.157608	99.194893	0	0	1	1	148	1151151
32	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.300073	4.285816	4.290093	2.187912	19.250000	23.000000	99.567169	99.231468	99.306068	0	0	1	1	148	1151040
33	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.300073	4.288667	4.290093	2.187106	19.250000	23.000000	99.603874	99.268059	99.342690	0	0	1	1	148	1164596
34	1	2	1	2	0	0	0	0	1	0	0	0	0	0	0	4.939927	4.301499	4.287241	4.288667	2.187106	19.250000	23.000000	99.603874	99.230751	99.342690	0	0	1	1	148	1151588
35	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	4.938315	4.302925	4.288667	4.290093	2.186301	19.250000	23.000000	99.752571	99.379326	99.453979	0	0	1	1	148	1151545
37	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.304350	4.290093	4.291519	2.187106	19.250000	23.000000	99.752571	99.379326	99.453979	0	0	1	1	148	1151040
38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.278687	4.285816	2.187106	19.250000	23.000000	99.306068	99.082275	98.933075	0	0	1	1	148	1176310
