time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.271558	4.277261	1.636703	7.750000	11.000000	99.121078	98.785599	98.860153	0	0	1	1	-1	0
2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.271558	4.272984	1.635898	7.750000	11.000000	99.083031	98.822021	98.822021	0	0	0	1	139	1351510
3	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	4.938315	4.284390	4.272984	4.272984	1.635092	7.750000	11.000000	99.267357	99.006096	99.006096	0	0	0	1	146	1367567
5	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.271558	4.274410	1.636703	7.750000	11.000000	99.083031	98.859314	98.822021	0	0	1	1	146	1201237
6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.270133	4.271558	1.636703	7.750000	11.000000	99.083031	98.747452	98.784737	0	0	1	1	146	1151009
7	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.270133	4.271558	1.636703	7.750000	11.000000	99.083794	98.785599	98.450134	0	0	1	1	146	1151000
8	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.274410	4.272984	1.637509	7.750000	11.000000	99.156868	98.858490	98.933075	0	0	1	1	146	1185515
9	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.271558	4.270133	1.637509	7.750000	11.000000	99.120316	98.859314	98.859314	0	0	1	1	146	1150891
10	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.271558	1.638315	7.750000	11.000000	99.120316	98.859314	98.822021	0	0	1	1	146	1151390
12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.272984	4.272984	1.638315	7.750000	11.000000	99.083031	98.896599	98.859314	0	0	1	1	147	1151470
13	3	3	2	1	1	1	0	0	0	0	0	0	0	0	0	4.939927	4.290093	4.278687	4.278687	1.639121	8.000000	11.000000	99.268059	99.006889	99.006889	0	0	1	1	147	1164612
14	1	2	1	2	1	0	0	0	0	1	0	0	0	0	0	4.943151	4.284390	4.272984	4.271558	1.639121	8.000000	11.000000	99.083031	98.784737	98.822021	0	0	1	1	147	1152543
15	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.271558	4.271558	1.639927	8.000000	11.500000	99.156868	98.858490	98.858490	0	0	1	1	147	1151424
16	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.272984	4.272984	1.639927	8.000000	11.000000	99.156868	98.858490	98.858490	0	0	1	1	147	1164570
18	2	1	1	3	0	0	0	0	0	1	0	0	0	0	0	4.943151	4.284390	4.275836	4.272984	1.640733	8.000000	11.500000	99.083031	98.859314	98.859314	0	0	1	1	147	1167239
19	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.271558	4.272984	1.640733	8.000000	11.000000	99.120316	98.896599	98.859314	0	0	1	1	147	1150964
20	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.274410	4.274410	1.641539	8.000000	11.500000	99.156868	98.858490	98.933075	0	0	1	1	147	1151000
49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.295796	4.271558	4.272984	1.647180	8.000000	11.500000	99.378662	99.079971	99.117302	0	0	1	1	-1	1167389
50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.287241	4.272984	4.272984	1.649597	8.000000	11.500000	99.157608	98.859314	98.598305	0	0	1	1	146	1152206
51	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.272984	4.272984	1.649597	8.000000	11.500000	99.083031	98.896599	98.822021	0	0	1	1	147	1150973
52	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.270133	4.274410	1.650403	8.250000	11.500000	99.156868	98.821190	98.895782	0	0	1	1	147	1164569
53	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.263004	4.261578	1.652015	8.250000	11.500000	99.008469	98.822021	98.859314	0	0	1	1	147	1151008
55	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.268707	4.272984	1.650403	8.000000	11.500000	99.120316	98.859314	98.896599	0	0	1	1	147	1150968
56	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.282964	4.271558	4.277261	1.649597	8.250000	11.500000	99.341316	99.005310	99.005310	0	0	1	1	147	1150968
57	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.270133	4.271558	1.652015	8.250000	11.500000	99.046524	98.748329	98.785599	0	0	1	1	147	1164561
58	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.271558	4.272984	1.652821	8.250000	11.500000	99.119583	98.895782	98.895782	0	0	1	1	147	1151005
59	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.272984	1.652821	8.250000	11.500000	99.120316	98.784737	98.859314	0	0	1	1	147	1150968
61	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.287241	4.272984	4.275836	1.652015	8.250000	11.500000	99.194176	98.858490	98.933075	0	0	1	1	147	1164563
62	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.287241	4.272984	4.274410	1.651209	8.250000	11.500000	99.230751	98.894958	98.932274	0	0	1	1	147	1152164
63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.272984	4.271558	1.652821	8.250000	11.500000	99.156868	98.970383	98.933075	0	0	1	1	147	1151000
64	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.270133	4.272984	1.652821	8.250000	11.500000	99.083031	98.822021	98.859314	0	0	1	1	147	1151000
65	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.271558	4.271558	1.653626	8.250000	11.500000	99.120316	98.933891	98.859314	0	0	1	1	147	1164598
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.272984	4.271558	1.653626	8.250000	11.500000	99.083031	98.859314	98.822021	0	0	1	1	147	1151015
68	0	2	1	2	0	0	0	0	2	0	0	0	0	0	0	4.943151	4.284390	4.272984	4.271558	1.654432	8.250000	11.500000	99.120316	98.859314	98.859314	0	0	1	1	147	1151000
69	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	4.939927	4.285816	4.274410	4.274410	1.653626	8.250000	11.500000	99.268059	99.006889	98.969566	0	0	1	1	147	1164600
1444464210	2	3	2	0	0	1	0	0	0	0	0	0	0	0	0	4.943151	4.281538	4.271558	4.272984	1.653626	8.250000	11.500000	99.083031	98.822021	98.822021	0	0	1	1	147	1184048
1444464211	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.282964	4.271558	4.274410	1.654432	8.250000	11.500000	99.156868	98.858490	98.895782	0	0	1	1	155	1167414
1444464212	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.288667	4.277261	4.275836	1.654432	8.250000	11.500000	99.342690	99.044197	99.044197	0	0	1	1	155	1167429
1444464213	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.284390	4.274410	4.272984	1.655238	8.250000	11.500000	99.083794	98.822884	98.785599	0	0	1	1	155	1187331
1444464214	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.287241	4.272984	4.272984	1.655238	8.250000	11.500000	99.119583	98.858490	98.858490	0	0	1	1	155	1167394
1444464216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.285816	4.274410	4.272984	1.655238	8.250000	11.500000	99.268059	99.006889	98.969566	0	0	1	1	155	1167418
1444464217	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	4.939927	4.285816	4.275836	4.272984	1.656850	8.250000	11.500000	99.193443	98.894958	98.857651	0	0	1	1	155	1164702
1444464218	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.282964	4.264430	4.258727	1.657656	8.250000	11.500000	99.044983	98.895782	98.821190	0	0	1	1	155	1167395
1444464219	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.271558	4.271558	1.657656	8.250000	11.500000	99.156868	98.933075	98.895782	0	0	1	1	155	1167419
1444464220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.275836	4.270133	1.656850	8.250000	11.500000	99.082275	98.895782	98.783882	0	0	1	1	155	1164680
1444464222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.282964	4.271558	4.272984	1.657656	8.250000	11.500000	99.194176	98.895782	98.895782	0	0	1	1	155	1167397
1444464223	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.282964	4.272984	4.271558	1.656850	8.250000	11.500000	99.156868	98.895782	98.895782	0	0	1	1	155	1167419
1444464224	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.287241	4.275836	4.274410	1.657656	8.250000	11.500000	99.194176	98.970383	98.933075	0	0	1	1	155	1164671
1444464225	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.278687	4.261578	4.274410	1.659268	8.250000	11.500000	99.156868	98.895782	98.858490	0	0	1	1	155	1168551
1444464226	2	2	0	2	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.284390	4.272984	4.272984	1.659268	8.250000	11.500000	99.120316	98.896599	98.822021	0	0	1	1	155	1167429
1444464228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.274410	4.274410	1.659268	8.250000	11.500000	99.083031	98.859314	98.859314	0	0	1	1	155	1167429
1444464229	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.272984	4.271558	1.659268	8.250000	12.000000	99.046524	98.785599	98.785599	0	0	1	1	155	1164678
1444464230	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.272984	4.272984	1.659268	8.250000	12.000000	99.120316	98.859314	98.859314	0	0	1	1	155	1167404
1444464231	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.272984	4.272984	1.660073	8.250000	12.000000	99.120316	98.523727	99.008469	0	0	1	1	155	1167428
1444464232	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.274410	4.272984	1.660073	8.250000	12.000000	99.120316	98.822021	98.822021	0	0	1	1	155	1164667
1444464234	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.271558	4.272984	1.660879	8.250000	12.000000	99.119583	98.858490	98.858490	0	0	1	1	155	1167404
1444464235	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.272984	4.271558	1.660879	8.250000	12.000000	99.120316	98.859314	98.859314	0	0	1	1	155	1167429
1444464236	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.272984	4.277261	1.660879	8.250000	12.000000	99.194893	98.896599	98.896599	0	0	1	1	155	1164666
1444464237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.280113	4.270133	4.272984	1.661685	8.250000	12.000000	99.120316	98.784737	98.859314	0	0	1	1	155	1168541
1444464238	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.270133	4.274410	1.661685	8.250000	12.000000	99.231468	98.858490	98.933075	0	0	1	1	155	1167416
1444464240	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.272984	4.271558	1.661685	8.250000	12.000000	99.083031	98.747452	98.822021	0	0	1	1	155	1167419
1444464241	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.270133	4.271558	1.662491	8.250000	12.000000	99.156868	98.821190	98.858490	0	0	1	1	155	1190743
1444464242	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.271558	1.663297	8.500000	12.000000	99.083031	98.411865	99.008469	0	0	1	1	155	1167362
1444464243	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.282964	4.270133	4.272984	1.662491	8.250000	12.000000	99.119583	98.858490	98.895782	0	0	1	1	155	1167418
1444464244	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.272984	1.662491	8.250000	12.000000	99.083031	98.449150	99.120316	0	0	1	1	155	1180326
1444464246	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.270133	4.271558	1.663297	8.500000	12.000000	99.120316	98.822021	98.822021	0	0	1	1	155	1167362
1444464247	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.270133	4.270133	1.664103	8.500000	12.000000	99.156868	98.821190	98.895782	0	0	1	1	155	1167419
1444464248	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.285816	4.272984	4.274410	1.663297	8.500000	12.000000	99.268059	98.969566	98.969566	0	0	1	1	155	1180326
1444464249	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4.941538	4.282964	4.268707	4.272984	1.664103	8.500000	12.000000	99.156868	98.821190	98.858490	0	0	1	1	155	1168541
1444464250	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.272984	1.664103	8.500000	12.000000	99.120316	98.784737	98.822021	0	0	1	1	155	1167428
1444464252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.272984	1.663297	8.500000	12.000000	98.896599	98.710175	98.784737	0	0	1	1	155	1184061
1444464253	4	0	1	1	0	1	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.268707	4.271558	1.663297	8.500000	12.000000	98.859314	98.822021	98.784737	0	0	1	1	155	1164671
1444464254	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.271558	1.664909	8.500000	12.000000	99.120316	98.784737	98.859314	0	0	1	1	155	1167404
1444464255	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.294370	4.268707	4.270133	1.665714	8.500000	12.000000	99.083794	98.748329	98.785599	0	0	1	1	155	1184061
1444464256	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.275836	4.271558	4.270133	1.666520	8.500000	12.000000	99.083031	98.747452	98.822021	0	0	1	1	155	1164667
1444464258	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.268707	4.271558	1.666520	8.500000	12.000000	99.083031	98.822021	98.822021	0	0	1	1	155	1167404
1444464259	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.282964	4.268707	4.271558	1.666520	8.500000	12.000000	99.083031	98.784737	98.822021	0	0	1	1	155	1167429
1444464260	2	3	0	1	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.285816	4.274410	4.275836	1.665714	8.500000	12.000000	99.194893	98.822021	98.859314	0	0	1	1	155	1164684
1444464261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.284390	4.268707	4.277261	1.668132	8.500000	12.000000	99.121078	98.748329	98.785599	0	0	1	1	155	1168545
1444464263	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.287241	4.268707	4.272984	1.668938	8.500000	12.000000	99.083794	98.785599	98.748329	0	0	1	1	155	1184057
1444464264	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.272984	1.667326	8.500000	12.000000	99.157608	98.784737	98.859314	0	0	1	1	155	1167414
1444464265	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.268707	4.274410	1.668938	8.500000	12.000000	99.083031	98.822021	98.859314	0	0	1	1	155	1164674
1444464266	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.272984	1.668132	8.500000	12.000000	99.120316	98.822021	98.933891	0	0	1	1	155	1184028
1444464267	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.270133	4.272984	1.668132	8.500000	12.000000	99.083031	98.822021	98.822021	0	0	1	1	155	1167409
1444464269	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.282964	4.268707	4.271558	1.668938	8.500000	12.000000	99.158348	98.785599	98.822884	0	0	1	1	155	1164672
1444464270	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.282964	4.268707	4.272984	1.668938	8.500000	12.000000	99.381340	98.710175	98.822021	0	0	1	1	155	1184027
1444464271	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.284390	4.270133	4.271558	1.668938	8.500000	12.000000	99.158348	98.785599	98.785599	0	0	1	1	155	1167409
1444464272	2	1	2	2	0	1	0	0	0	1	0	0	0	0	0	4.941538	4.290093	4.274410	4.275836	1.668938	8.500000	12.000000	99.268776	98.933075	98.634682	0	0	1	1	155	1164670
1444464273	1	1	1	2	1	0	1	0	1	0	0	1	0	0	0	4.943151	4.284390	4.270133	4.272984	1.669744	8.500000	12.000000	99.083031	98.784737	98.859314	0	0	1	1	155	1185183
1444464275	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.284390	4.271558	4.271558	1.669744	8.500000	12.000000	98.821190	98.597389	98.933075	0	0	1	1	155	1167419
1444464276	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.284390	4.270133	4.270133	1.670550	8.500000	12.000000	98.747452	98.598305	98.747452	0	0	1	1	155	1164690
1444464277	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.270133	4.271558	1.670550	8.500000	12.000000	99.120316	98.747452	98.822021	0	0	1	1	155	1167405
1444464278	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.268707	4.272984	1.671355	8.500000	12.000000	99.046524	98.748329	98.822884	0	0	1	1	155	1167429
1444464279	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.947986	4.280113	4.271558	4.271558	1.671355	8.500000	12.000000	99.048080	98.750084	98.824585	0	0	1	1	155	1167429
1444464281	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.285816	4.275836	4.272984	1.671355	8.500000	12.000000	99.194176	98.895782	98.858490	0	0	1	1	155	1180333
1444464282	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.285816	4.274410	4.272984	1.672161	8.500000	12.000000	99.083031	98.859314	98.859314	0	0	1	1	155	1167395
1444464283	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	4.941538	4.282964	4.271558	4.272984	1.671355	8.500000	12.000000	99.156868	98.933075	99.007675	0	0	1	1	155	1167428
