time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1	1	2	1	2	0	0	0	1	0	0	0	0	0	0	0	4.949597	4.291519	4.277261	4.280113	1.371575	2.000000	-59.500000	99.160568	98.825424	98.862663	0	0	1	1	-1	0
2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.287241	4.261578	4.281538	1.370769	2.000000	3.000000	99.232903	98.971970	98.897430	0	0	0	1	140	1351657
3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.287241	4.272984	4.272984	1.369964	2.000000	3.000000	99.158348	98.860153	98.897430	0	0	0	1	145	1367530
5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.287241	4.274410	4.275836	1.370769	2.000000	3.000000	99.121826	98.823723	98.860992	0	0	1	1	145	1286542
6	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.288667	4.275836	4.277261	1.370769	2.000000	3.000000	99.270180	98.934700	98.971970	0	0	1	1	145	1151004
7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.271558	4.274410	1.371575	2.000000	3.000000	99.121078	98.860153	98.897430	0	0	1	1	145	1150999
8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.287241	4.271558	4.274410	1.370769	2.000000	3.000000	99.159088	98.823723	98.898247	0	0	1	1	145	1169929
9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.291519	4.274410	4.275836	1.371575	2.000000	3.000000	99.196342	98.823723	98.823723	0	0	1	1	145	1151004
11	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.288667	4.274410	4.275836	1.371575	2.000000	3.000000	99.121826	98.562897	98.600151	0	0	1	1	145	1150999
12	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.288667	4.275836	4.275836	1.371575	2.000000	3.000000	99.457199	98.823723	98.860992	0	0	1	1	146	1151005
13	2	1	1	3	0	0	0	0	0	1	0	0	0	0	0	4.943151	4.275836	4.267281	4.278687	1.371575	2.000000	3.000000	99.306763	98.971169	99.008469	0	0	1	1	146	1164586
14	1	3	2	1	0	0	0	0	1	0	0	0	0	0	0	4.951209	4.277261	4.278687	4.272984	1.372381	2.000000	3.000000	99.012398	98.751816	98.751816	0	0	1	1	146	1152155
15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.287241	4.272984	4.274410	1.372381	2.000000	3.000000	99.158348	98.860153	98.897430	0	0	1	1	146	1150995
17	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.287241	4.272984	4.274410	1.372381	2.000000	3.000000	99.047302	98.749191	98.823723	0	0	1	1	146	1164570
18	1	1	2	2	0	0	0	0	1	0	0	0	0	0	0	4.943151	4.287241	4.272984	4.272984	1.371575	2.000000	3.000000	99.157608	98.859314	98.933891	0	0	1	1	146	1151000
19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.272984	4.268707	1.370769	2.000000	3.000000	99.009239	98.524689	98.524689	0	0	1	1	146	1150970
20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.288667	4.275836	4.275836	1.372381	2.000000	3.000000	99.231468	98.933075	99.007675	0	0	1	1	146	1150967
21	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	4.944762	4.285816	4.271558	4.274410	1.372381	2.000000	3.000000	99.195625	98.860153	98.860153	0	0	1	1	146	1164562
23	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.284390	4.271558	4.274410	1.373993	2.000000	3.000000	98.897430	98.860153	98.785599	0	0	1	1	146	1151002
24	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	4.946374	4.285816	4.274410	4.275836	1.373993	2.000000	3.000000	99.084572	98.823723	98.823723	0	0	1	1	146	1150967
25	2	3	0	3	1	0	0	0	1	0	0	0	0	0	0	4.943151	4.287241	4.275836	4.277261	1.373993	2.000000	3.000000	99.269463	98.933891	98.971169	0	0	1	1	146	1164561
26	2	5	2	1	0	0	1	0	0	0	0	0	0	0	0	4.944762	4.284390	4.271558	4.274410	1.373993	2.000000	3.000000	99.121078	98.822884	98.860153	0	0	1	1	146	1152146
27	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	4.944762	4.287241	4.275836	4.274410	1.375605	2.000000	3.000000	99.158348	98.860153	98.822884	0	0	1	1	146	1150970
28	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.284390	4.272984	4.275836	1.375605	2.000000	3.000000	99.121078	98.785599	98.860153	0	0	1	1	146	1151002
30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.284390	4.272984	4.274410	1.375605	2.000000	3.000000	99.158348	98.822884	98.860153	0	0	1	1	146	1164601
31	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4.944762	4.284390	4.271558	4.275836	1.376410	2.000000	3.000000	99.121078	98.785599	98.860153	0	0	1	1	146	1151012
32	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.291519	4.275836	4.275836	1.376410	2.250000	3.000000	99.231468	98.933075	99.044983	0	0	1	1	146	1151003
