time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1444473559	35	39	26	30	6	1	2	2	4	5	0	0	0	0	0	4.941538	0.587411	0.585985	0.581708	1.502931	5.000000	7.500000	2.402402	2.365103	2.290505	0	0	1	1	155	1164653
1444473560	32	39	34	43	6	0	1	3	6	5	0	0	0	1	0	4.943151	0.585985	0.585985	0.584559	1.502931	5.000000	7.500000	2.434690	2.397403	2.360116	0	0	1	1	155	1213825
1444473562	37	39	44	40	6	2	2	2	5	5	0	0	0	0	0	4.943151	0.585985	0.585985	0.581708	1.503736	5.000000	7.500000	2.434690	2.397403	2.285542	0	0	1	1	155	1167394
1444473563	44	43	50	32	8	5	4	5	3	3	0	0	0	1	0	4.943151	0.587411	0.581708	0.581708	1.502931	5.000000	7.500000	2.434690	2.397403	2.248254	0	0	1	1	155	1201387
1444473564	36	36	38	48	5	2	1	1	6	5	0	0	0	0	0	4.941538	0.587411	0.585985	0.581708	1.502931	5.000000	7.500000	2.477003	2.402402	2.290505	0	0	1	1	155	1167394
1444473565	41	43	49	40	5	4	4	3	3	4	0	1	0	0	0	4.943151	0.585985	0.585985	0.580282	1.502931	5.000000	7.500000	2.397403	2.360116	2.285542	0	0	1	1	155	1167419
1444473566	40	22	35	21	3	5	3	4	2	2	2	0	0	0	0	4.941538	0.587411	0.585985	0.581708	1.502125	5.000000	7.500000	2.439701	2.365103	2.253204	0	0	1	1	155	1180396
1444473568	43	39	36	46	6	3	5	4	7	3	0	0	0	0	0	4.939927	0.583133	0.584559	0.580282	1.499707	5.000000	7.500000	2.295470	2.370093	2.220846	0	0	1	1	155	1168654
1444473569	38	43	37	43	5	3	2	4	7	3	0	1	0	1	0	4.941538	0.584559	0.585985	0.580282	1.502931	5.000000	7.500000	2.365103	2.402402	2.290505	0	0	1	1	155	1167428
1444473570	39	35	32	21	7	5	0	2	3	1	1	0	0	0	0	4.943151	0.583133	0.585985	0.580282	1.502125	5.000000	7.500000	2.360116	2.360116	2.248254	0	0	1	1	155	1164659
1444473571	29	26	44	36	2	3	3	8	2	2	0	0	0	0	0	4.936703	0.584559	0.585985	0.581708	1.501319	5.000000	7.500000	2.380081	2.380081	2.268073	0	0	1	1	155	1167404
1444473572	46	35	35	39	4	3	2	5	6	5	0	1	1	1	0	4.943151	0.577430	0.581708	0.585985	1.502125	5.000000	7.500000	2.397403	2.397403	2.285542	0	0	1	1	155	1167428
