time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	4.943151	4.304350	4.288667	4.292944	2.170183	18.750000	23.000000	99.642334	99.232185	99.344040	0	0	1	1	-1	0
2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	4.939927	4.304350	4.287241	4.290093	2.170989	18.750000	23.000000	99.342690	99.342690	99.230751	0	0	0	1	140	1351698
3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4.936703	4.301499	4.288667	4.290093	2.168571	18.750000	23.000000	99.752022	99.378662	99.415993	0	0	0	1	147	1367644
5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.304350	4.287241	4.288667	2.171795	19.000000	23.000000	99.417313	99.342690	99.268059	0	0	1	1	147	1201476
6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.300073	4.288667	4.275836	2.168571	18.750000	23.000000	99.529861	99.194176	99.268776	0	0	1	1	147	1151110
7	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4.951209	4.290093	4.288667	4.285816	2.168571	18.750000	23.000000	99.421898	99.012398	99.086853	0	0	1	1	147	1151072
8	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.302925	4.288667	4.290093	2.169377	18.750000	23.000000	99.679062	99.231468	99.231468	0	0	1	1	147	1170135
9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.301499	4.290093	4.288667	2.168571	18.750000	23.000000	99.604462	99.231468	99.231468	0	0	1	1	147	1151015
10	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	4.941538	4.300073	4.287241	4.291519	2.168571	18.750000	23.000000	99.604462	99.231468	99.306068	0	0	1	1	147	1151000
12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.301499	4.287241	4.290093	2.169377	18.750000	23.000000	99.604462	99.231468	99.268776	0	0	1	1	148	1151005
