time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1444478601	33	32	37	41	2	2	2	2	4	5	0	0	1	1	0	4.941538	0.526103	0.524677	0.523252	1.759194	10.500000	13.500000	0.835829	0.761231	0.686632	0	0	1	1	157	1167437
1444478602	31	31	46	22	2	6	2	2	2	4	0	0	2	0	0	4.941538	0.526103	0.524677	0.518974	1.760806	10.500000	13.500000	0.835829	0.835829	0.649333	0	0	1	1	157	1219515
1444478604	31	29	34	33	4	2	1	4	4	3	0	0	0	2	0	4.939927	0.523252	0.523252	0.517549	1.759194	10.500000	13.500000	0.728385	0.616451	0.579140	0	0	1	1	157	1167437
1444478605	29	35	35	28	2	1	0	2	5	3	0	0	0	0	0	4.943151	0.524677	0.524677	0.521826	1.760806	10.500000	13.500000	0.794054	0.794054	0.644904	0	0	1	1	157	1201414
1444478606	39	38	40	40	5	3	3	2	8	7	0	0	0	2	0	4.941538	0.526103	0.524677	0.520400	1.761612	10.500000	13.500000	0.835829	0.761231	0.686632	0	0	1	1	157	1167440
1444478607	34	31	46	40	6	1	0	1	3	6	0	0	0	0	0	4.941538	0.521826	0.526103	0.520400	1.760806	10.500000	13.500000	0.723931	0.798530	0.686632	0	0	1	1	157	1167451
1444478609	34	37	43	40	6	2	0	4	3	6	1	0	0	0	0	4.939927	0.523252	0.523252	0.520400	1.761612	10.500000	13.500000	0.765698	0.803008	0.691074	0	0	1	1	157	1170156
1444478610	39	31	35	46	7	4	6	3	8	4	1	3	1	2	1	4.939927	0.526103	0.523252	0.520400	1.762418	10.500000	13.500000	0.765698	0.765698	0.728385	0	0	1	1	157	1168696
1444478611	37	36	40	38	6	2	6	2	5	3	0	3	0	0	0	4.936703	0.526103	0.524677	0.520400	1.760806	10.500000	13.500000	0.811974	0.849310	0.699966	0	0	1	1	157	1167462
1444478612	42	34	42	37	7	3	3	4	4	6	1	0	0	1	0	4.939927	0.523252	0.526103	0.520400	1.763224	10.500000	13.500000	0.765698	0.691074	0.803008	0	0	1	1	157	1164684
1444478613	35	26	27	33	4	3	1	3	3	2	0	0	1	0	0	4.943151	0.526103	0.524677	0.520400	1.762418	10.500000	13.500000	0.831341	0.756766	0.682191	0	0	1	1	157	1167447
1444478615	40	48	33	34	8	3	6	1	1	4	1	0	1	0	0	4.939927	0.526103	0.524677	0.518974	1.763224	10.500000	13.500000	0.803008	0.803008	0.653762	0	0	1	1	157	1167464
1444478616	38	32	39	45	3	3	4	3	5	8	1	0	0	0	0	4.941538	0.526103	0.523252	0.514697	1.763224	10.500000	13.500000	0.835829	0.761231	0.686632	0	0	1	1	157	1164694
1444478617	32	41	38	26	2	3	5	5	1	2	1	0	0	0	0	4.939927	0.523252	0.523252	0.518974	1.764029	10.500000	13.500000	0.765698	0.765698	0.653762	0	0	1	1	157	1167446
1444478618	37	32	33	41	2	1	2	2	6	3	0	1	0	0	0	4.943151	0.524677	0.524677	0.521826	1.764029	10.500000	13.500000	0.794054	0.794054	0.644904	0	0	1	1	157	1167474
1444478619	38	37	31	39	5	2	3	2	6	6	0	0	1	1	0	4.939927	0.524677	0.524677	0.520400	1.764029	10.500000	13.500000	0.803008	0.765698	0.653762	0	0	1	1	157	1167461
1444478621	32	41	38	33	5	2	2	4	2	5	0	0	1	0	0	4.939927	0.526103	0.518974	0.513271	1.764835	10.500000	13.500000	0.765698	0.803008	0.653762	0	0	1	1	157	1164678
1444478622	36	39	37	40	8	0	3	3	3	3	0	0	0	0	0	4.941538	0.526103	0.526103	0.520400	1.764835	10.500000	13.500000	0.798530	0.723931	0.649333	0	0	1	1	157	1168687
