time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1444480762	33	26	35	26	2	4	1	2	0	3	0	0	0	0	0	4.941538	0.524677	0.526103	0.524677	2.037216	16.250000	19.000000	0.835829	0.835829	0.835829	0	0	1	1	157	1167437
1444480763	47	36	32	30	8	5	3	4	4	3	1	2	0	1	0	4.941538	0.527529	0.527529	0.523252	2.037216	16.250000	19.000000	0.835829	0.798530	0.686632	0	0	1	1	157	1219740
1444480764	36	40	28	39	3	1	2	2	1	3	0	0	1	0	0	4.939927	0.526103	0.527529	0.523252	2.037216	16.250000	19.000000	0.877631	0.840319	0.803008	0	0	1	1	157	1167436
1444480766	34	39	41	27	2	2	2	6	5	3	1	1	1	2	1	4.939927	0.527529	0.527529	0.523252	2.037216	16.250000	19.000000	0.803008	0.840319	0.803008	0	0	1	1	157	1211902
1444480767	33	39	38	39	3	4	3	2	4	4	1	1	1	0	0	4.939927	0.527529	0.526103	0.523252	2.037216	16.250000	19.000000	0.877631	0.840319	0.803008	0	0	1	1	157	1167437
1444480768	41	30	36	35	4	1	1	2	2	3	0	0	0	0	0	4.939927	0.526103	0.526103	0.524677	2.037216	16.250000	19.000000	0.877631	0.840319	0.803008	0	0	1	1	157	1167451
1444480769	28	40	38	39	2	3	3	5	8	5	0	1	1	1	0	4.938315	0.526103	0.526103	0.524677	2.036410	16.250000	19.000000	0.844813	0.732842	0.807490	0	0	1	1	157	1170179
1444480771	31	34	29	44	7	1	3	4	3	4	1	0	0	0	0	4.941538	0.527529	0.526103	0.523252	2.038022	16.250000	19.000000	0.835829	0.873128	0.761231	0	0	1	1	157	1168592
1444480772	34	43	40	30	7	2	3	2	4	4	0	0	1	0	0	4.935091	0.527529	0.526103	0.526103	2.036410	16.250000	19.000000	0.891157	0.853809	0.853809	0	0	1	1	157	1167460
1444480773	28	23	31	37	0	3	3	1	2	4	0	0	1	0	0	4.939927	0.527529	0.526103	0.526103	2.037216	16.250000	19.000000	0.803008	0.728385	0.803008	0	0	1	1	157	1164704
