time	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	adcr	adcp1	adcp2	adcp3	adcntc	ntcT	digT	p1	p2	p3	hvstate	pbsstate	ethstate	listpbs	sdstate	looptime
1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.947986	4.305777	4.290093	4.281538	2.159707	18.500000	-59.500000	99.681358	99.085327	99.159828	0	0	1	1	-1	0
2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.946374	4.298647	4.285816	4.287241	2.161319	18.750000	19.000000	99.382668	99.047302	99.121826	0	0	0	1	141	1351107
3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.288667	4.271558	4.272984	2.159707	18.500000	19.000000	99.157608	98.971169	98.896599	0	0	0	1	147	1367639
5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.297222	4.282964	4.285816	2.160513	18.750000	19.000000	99.344040	99.008469	98.822021	0	0	1	1	147	1297565
6	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.298647	4.285816	4.285816	2.161319	18.750000	19.000000	99.492569	99.156868	99.156868	0	0	1	1	147	1151015
7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.297222	4.287241	4.285816	2.161319	18.750000	19.000000	99.231468	98.933075	99.231468	0	0	1	1	147	1151001
8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.939927	4.292944	4.284390	4.287241	2.159707	18.750000	19.500000	99.566551	99.268059	99.268059	0	0	1	1	147	1169957
9	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.297222	4.284390	4.281538	2.160513	18.750000	19.000000	99.455902	99.120316	99.083031	0	0	1	1	147	1151018
11	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	4.941538	4.295796	4.282964	4.281538	2.161319	18.750000	19.500000	99.455261	99.156868	99.194176	0	0	1	1	147	1151003
12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.294370	4.278687	4.270133	2.162930	18.750000	19.500000	99.269463	99.194893	99.120316	0	0	1	1	148	1151008
13	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	4.939927	4.285816	4.284390	4.287241	2.160513	18.750000	19.500000	99.566551	99.342690	99.268059	0	0	1	1	148	1164602
14	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.295796	4.282964	4.282964	2.161319	18.750000	19.500000	99.493187	99.157608	99.083031	0	0	1	1	148	1152166
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.297222	4.282964	4.281538	2.161319	18.750000	19.500000	99.492569	99.194176	99.156868	0	0	1	1	148	1150973
17	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4.941538	4.297222	4.284390	4.285816	2.162125	18.750000	19.500000	99.455261	99.156868	99.156868	0	0	1	1	148	1164590
18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4.943151	4.297222	4.284390	4.284390	2.162930	18.750000	19.500000	99.455902	99.120316	99.157608	0	0	1	1	148	1167404
19	0	3	2	1	0	0	0	1	0	0	0	0	0	0	0	4.941538	4.295796	4.282964	4.285816	2.162930	18.750000	19.500000	99.492569	99.156868	99.231468	0	0	1	1	148	1150955
