quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413031520	1000	20	26	24	27	6	4	5	4	9	4	1	0	1	0	0	7.00	5.00	1.514213	4.975385	1.065038	14.745437
1413031521	1000	23	30	28	18	5	8	4	6	11	2	1	1	0	1	0	7.00	5.00	1.513407	4.973773	1.063612	14.717348
1413031522	1000	26	20	25	20	5	5	5	4	5	8	0	0	1	1	0	7.00	5.00	1.510183	4.967327	1.062187	14.716122
1413031523	1000	20	23	15	22	5	5	4	5	7	2	1	0	1	0	0	7.00	5.00	1.510989	4.972162	1.063612	14.726308
1413031524	1000	21	28	27	30	0	5	9	10	10	3	0	0	0	1	0	7.00	5.00	1.510989	4.970550	1.062187	14.698193
1413031525	1000	17	23	19	24	4	2	7	5	10	1	0	1	0	0	0	7.00	5.00	1.510183	4.970550	1.062187	14.698193
1413031526	1000	21	22	23	29	3	3	9	7	5	5	0	0	1	1	0	7.00	5.00	1.510989	4.973773	1.056484	14.532057
1413031527	1000	29	23	30	19	8	10	7	7	7	3	1	2	1	1	0	7.00	5.00	1.509377	4.967327	1.059335	14.641909
1413031528	1000	24	17	28	25	3	5	4	3	4	1	0	0	0	0	0	7.00	5.00	1.510183	4.972162	1.060761	14.652169
1413031529	1000	23	21	22	22	3	8	6	6	6	1	0	0	0	0	0	7.00	5.00	1.509377	4.972162	1.060761	14.652169
1413031530	1000	26	18	21	29	1	8	9	2	4	4	0	0	0	0	0	7.00	5.00	1.509377	4.972162	1.056484	14.540958
1413031531	1000	20	26	26	28	3	6	4	4	9	6	1	1	0	1	0	7.00	5.00	1.508572	4.972162	1.057909	14.578031
1413031532	1000	24	21	22	23	3	9	7	3	7	2	0	1	1	0	0	6.50	5.00	1.508572	4.968938	1.059335	14.632967
1413031533	1000	22	27	24	35	5	3	5	3	13	4	0	1	0	0	0	6.50	5.00	1.506960	4.968938	1.059335	14.632967
1413031534	1000	23	27	20	26	5	4	6	4	6	5	0	0	1	0	0	6.50	5.00	1.506960	4.970550	1.055058	14.512784
1413031535	1000	15	23	25	16	2	6	1	6	8	4	0	0	0	2	0	6.50	5.00	1.505348	4.967327	1.055058	14.530593
1413031536	1000	22	19	25	30	4	8	9	4	5	6	2	1	1	0	1	6.50	5.00	1.506960	4.973773	1.055058	14.495000
1413031537	1000	23	29	26	21	6	5	8	10	6	5	0	1	1	0	0	6.50	5.00	1.506960	4.967327	1.046503	14.307961
1413031538	1000	31	23	31	28	2	7	14	7	4	2	0	0	2	0	0	6.50	4.75	1.504542	4.970550	1.050781	14.401542
1413031539	1000	33	35	25	35	9	9	13	4	13	5	0	2	0	1	0	6.50	4.75	1.502125	4.967327	1.053632	14.493486
1413031540	1000	19	21	18	25	6	5	5	3	5	5	1	0	1	0	0	6.50	5.00	1.505348	4.970550	1.049355	14.364460
1413031541	1000	22	20	25	24	4	7	8	6	5	4	0	1	0	2	0	6.50	4.75	1.503736	4.972162	1.049355	14.355614
1413031542	1000	17	21	17	18	3	5	5	2	3	5	0	1	0	0	0	6.50	4.75	1.502931	4.968938	1.042226	14.187844
1413031543	1000	24	36	27	27	4	10	4	8	14	5	1	0	1	2	0	6.50	4.75	1.499707	4.962492	1.047929	14.371638
