quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413038193	1000	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	8.50	6.00	1.494872	4.733626	4.164627	100.809143
1413038194	1000	2	1	1	3	1	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.494066	4.730403	4.160350	100.769760
1413038195	1000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.496484	4.733626	4.167479	100.887024
1413038196	1000	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	9.00	6.00	1.496484	4.736850	4.164627	100.731743
1413038197	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.494872	4.730403	4.163201	100.847679
1413038198	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.496484	4.736850	4.164627	100.731743
1413038199	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.496484	4.732015	4.163201	100.808922
1413038200	1000	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	9.00	6.00	1.497290	4.732015	4.161776	100.769981
1413038201	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.497290	4.733626	4.163201	100.770195
1413038202	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.498901	4.735238	4.164627	100.770432
1413038203	1000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.498901	4.736850	4.166053	100.770660
1413038204	1000	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.499707	4.736850	4.163201	100.692833
1413038205	1000	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.499707	4.736850	4.146092	100.225891
1413038206	1000	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	9.00	6.25	1.498901	4.730403	4.167479	100.964584
1413038207	1000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.00	1.499707	4.736850	4.166053	100.770660
1413038208	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.25	1.501319	4.738461	4.168905	100.809792
1413038209	1000	0	4	1	3	0	0	0	1	0	0	0	0	0	0	0	9.00	6.25	1.501319	4.738461	4.168905	100.809792
1413038210	1000	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	9.00	6.25	1.501319	4.736850	4.148944	100.303734
1413038211	1000	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9.00	6.25	1.501319	4.735238	4.166053	100.809364
1413038212	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.25	1.502931	4.736850	4.168905	100.848495
1413038213	1000	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	9.00	6.25	1.503736	4.740073	4.166053	100.693336
1413038214	1000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.25	1.502931	4.738461	4.163201	100.654182
1413038215	1000	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	9.00	6.25	1.504542	4.743297	4.166053	100.616119
1413038216	1000	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9.00	6.25	1.502931	4.735238	4.140389	100.108719
