quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413034526	1000	19	15	12	15	7	8	7	5	8	6	4	4	5	4	4	7.00	4.25	1.432821	4.783590	0.490459	0.327012
1413034527	1000	14	11	14	18	5	6	9	5	6	7	4	5	5	4	4	7.00	4.25	1.433627	4.781978	0.489034	0.292936
1413034528	1000	9	7	13	5	5	7	4	6	4	5	5	4	4	4	4	7.00	4.25	1.433627	4.783590	0.490459	0.327012
1413034529	1000	11	13	8	10	4	4	4	6	6	4	4	4	4	4	4	7.00	4.25	1.432821	4.778755	0.490459	0.340423
1413034530	1000	8	13	17	8	4	5	4	9	4	5	4	4	4	4	4	7.00	4.50	1.434432	4.780366	0.490459	0.335949
1413034531	1000	15	9	13	4	4	5	3	5	3	3	3	3	3	3	3	7.00	4.50	1.436850	4.788425	0.490459	0.313628
1413034532	1000	17	10	11	11	5	6	7	5	6	6	4	4	5	4	4	7.00	4.50	1.439268	4.793260	0.493311	0.377178
1413034533	1000	8	9	10	4	2	5	2	5	2	2	2	2	2	2	2	7.00	4.50	1.436044	4.783590	0.490459	0.327012
1413034534	1000	12	10	12	6	5	6	5	7	5	4	4	4	4	4	4	7.00	4.50	1.438462	4.788425	0.493311	0.390613
1413034535	1000	14	17	15	11	7	4	4	5	5	4	3	3	3	3	3	7.00	4.50	1.436850	4.780366	0.491885	0.374507
1413034536	1000	4	4	3	2	3	2	2	3	2	2	2	2	2	2	2	7.00	4.50	1.438462	4.788425	0.491885	0.352121
1413034537	1000	11	9	11	6	4	4	4	5	3	3	3	3	3	3	3	7.00	4.50	1.438462	4.783590	0.489034	0.288480
1413034538	1000	4	4	7	5	0	2	0	2	1	0	0	0	0	0	0	7.00	4.50	1.440879	4.790037	0.490459	0.309173
1413034539	1000	6	5	4	4	3	3	2	3	2	2	3	2	2	2	2	7.00	4.50	1.440073	4.790037	0.490459	0.309173
1413034540	1000	10	9	11	11	5	5	7	7	5	6	5	5	5	5	5	7.00	4.50	1.439268	4.786813	0.490459	0.318086
1413034541	1000	11	14	12	11	5	5	4	8	7	6	4	4	4	6	4	7.00	4.50	1.440879	4.783590	0.491885	0.365544
1413034542	1000	16	11	11	10	6	5	4	5	5	5	4	4	4	4	4	7.00	4.50	1.441685	4.788425	0.491885	0.352121
1413034543	1000	8	6	5	6	2	3	4	3	3	2	2	2	2	2	2	7.00	4.50	1.441685	4.788425	0.490459	0.313628
1413034544	1000	13	8	15	16	3	7	5	3	4	5	2	2	3	2	2	7.00	4.50	1.442491	4.790037	0.491885	0.347652
1413034545	1000	12	14	12	11	1	6	3	4	1	2	1	1	1	1	1	7.00	4.50	1.443297	4.786813	0.491885	0.356592
1413034546	1000	10	11	9	8	7	7	6	6	8	6	6	6	6	6	6	7.00	4.50	1.443297	4.788425	0.486182	0.198152
1413034547	1000	12	11	10	8	6	6	7	8	5	5	5	5	5	5	5	7.00	4.50	1.444908	4.790037	0.491885	0.347652
1413034548	1000	11	9	13	7	6	7	6	6	6	7	6	6	6	6	6	7.00	4.50	1.444908	4.788425	0.490459	0.313628
1413034549	1000	11	13	10	10	5	5	3	6	5	5	3	3	3	4	3	7.00	4.50	1.443297	4.783590	0.490459	0.327012
1413034550	1000	7	12	12	8	6	7	6	9	6	6	6	6	6	5	6	7.00	4.50	1.444103	4.785202	0.491885	0.361066
1413034551	1000	8	9	9	8	5	6	5	6	6	6	5	5	5	5	5	7.00	4.50	1.444103	4.783590	0.490459	0.327012
1413034552	1000	8	12	10	6	3	3	1	4	2	1	2	1	1	1	1	7.00	4.50	1.447326	4.794872	0.490459	0.295825
1413034553	1000	17	16	8	9	7	6	6	4	5	4	4	4	4	4	4	7.00	4.50	1.447326	4.790037	0.491885	0.347652
1413034554	1000	10	9	6	7	5	6	5	5	5	5	5	5	5	5	5	7.00	4.75	1.448938	4.793260	0.483331	0.108006
1413034555	1000	13	9	8	12	1	4	3	3	3	1	1	1	1	1	1	7.00	4.50	1.445714	4.783590	0.490459	0.327012
1413034556	1000	17	13	19	10	4	5	6	5	2	4	2	2	3	2	2	7.00	4.75	1.450550	4.798095	0.491885	0.325356
1413034557	1000	15	12	9	12	4	4	6	3	3	2	2	2	2	2	2	7.50	4.75	1.447326	4.786813	0.491885	0.356592
1413034558	1000	9	8	9	9	2	4	3	4	2	2	1	1	1	1	1	7.00	4.75	1.449744	4.793260	0.489034	0.261818
1413034559	1000	15	17	13	9	9	7	7	8	5	6	6	5	5	5	5	7.50	4.75	1.448132	4.788425	0.454816	-0.648673
1413034560	1000	11	11	11	6	5	8	6	7	5	6	5	5	6	5	5	7.50	4.75	1.450550	4.791648	0.490459	0.304720
1413034561	1000	11	11	9	9	7	7	8	7	6	7	6	6	6	6	6	7.50	4.75	1.450550	4.783590	0.489034	0.288480
1413034562	1000	10	3	6	7	0	2	1	0	1	0	0	0	0	0	0	7.50	4.75	1.451355	4.791648	0.491885	0.343188
1413034563	1000	13	8	9	10	0	2	3	3	1	2	0	0	0	0	0	7.50	4.75	1.453773	4.798095	0.493311	0.363770
1413034564	1000	10	5	14	12	0	4	2	1	1	2	0	0	0	0	0	7.50	4.75	1.452161	4.793260	0.491885	0.338725
1413034565	1000	9	11	9	10	0	1	4	3	1	2	0	0	0	1	0	7.50	4.75	1.452161	4.788425	0.486182	0.198152
1413034566	1000	13	14	10	5	3	1	1	4	1	3	1	1	1	1	1	7.50	4.75	1.448132	4.778755	0.490459	0.340423
1413034567	1000	15	13	7	5	3	3	2	4	1	1	1	1	1	1	1	7.50	4.75	1.449744	4.780366	0.489034	0.297392
1413034568	1000	9	15	15	5	2	3	2	4	2	1	1	1	1	1	1	7.50	4.75	1.456191	4.796484	0.490459	0.291381
1413034569	1000	16	1	5	6	0	1	3	0	0	1	0	0	0	0	0	7.50	4.75	1.454579	4.793260	0.486182	0.184913
1413034570	1000	23	10	12	1	6	8	1	2	1	1	2	1	1	1	1	7.50	4.75	1.453773	4.788425	0.567450	2.392197
1413034571	1000	13	13	11	8	6	8	7	6	5	6	5	5	6	5	5	7.50	4.75	1.454579	4.790037	0.490459	0.309173
1413034572	1000	21	17	12	3	2	5	1	4	2	1	1	1	1	1	1	7.50	4.75	1.452967	4.783590	0.490459	0.327012
1413034573	1000	11	8	8	7	4	5	5	5	3	3	3	3	3	3	3	7.50	4.75	1.456191	4.791648	0.490459	0.304720
1413034574	1000	8	12	11	6	5	4	4	9	4	4	4	4	4	4	4	7.50	4.75	1.457802	4.794872	0.489034	0.257384
1413034575	1000	8	8	11	9	3	2	4	6	2	4	2	2	2	2	2	7.50	5.00	1.456191	4.785202	0.490459	0.322548
1413034576	1000	11	10	12	7	5	7	6	7	5	6	5	5	5	5	5	7.50	4.75	1.456191	4.788425	0.486182	0.198152
1413034577	1000	11	8	9	7	7	7	7	6	6	6	6	6	6	6	6	7.50	5.00	1.458608	4.791648	0.490459	0.304720
1413034578	1000	14	14	10	9	7	6	7	9	6	6	6	6	6	6	6	7.50	5.00	1.459414	4.794872	0.490459	0.295825
1413034579	1000	6	6	9	7	3	4	4	4	3	3	3	3	3	3	3	7.50	5.00	1.458608	4.793260	0.490459	0.300271
1413034580	1000	11	7	4	9	3	2	3	2	3	1	1	2	1	1	1	7.50	5.00	1.459414	4.796484	0.489034	0.252953
1413034581	1000	6	5	7	5	2	4	2	3	2	2	2	2	2	2	2	7.50	4.75	1.441685	4.738461	0.501865	0.764430
1413034582	1000	14	13	5	1	5	2	1	4	1	1	2	1	1	1	1	7.50	5.00	1.453773	4.773920	0.489034	0.315252
1413034583	1000	16	13	8	1	2	4	1	2	1	1	1	1	1	1	1	7.50	4.75	1.425568	4.683663	0.477628	0.255626
1413034584	1000	10	5	5	7	3	4	5	3	4	4	3	3	4	3	3	7.50	5.00	1.457802	4.783590	0.490459	0.327012
1413034585	1000	12	11	11	9	3	2	3	5	3	1	2	1	1	1	1	7.50	5.00	1.456996	4.777143	0.484756	0.190568
1413034586	1000	2	4	3	4	2	2	1	3	2	2	2	1	1	2	1	7.50	4.75	1.429597	4.685275	0.476202	0.211749
1413034587	1000	7	6	5	4	2	2	1	3	2	1	2	1	1	1	1	7.50	5.00	1.460220	4.781978	0.489034	0.292936
1413034588	1000	6	5	7	6	0	3	0	1	1	0	0	0	0	0	0	7.50	5.00	1.462637	4.791648	0.489034	0.266255
1413034589	1000	6	8	4	6	0	0	2	3	0	0	0	0	0	0	0	7.50	5.00	1.448132	4.748132	0.480479	0.154265
1413034590	1000	5	5	5	4	2	3	1	2	2	0	1	1	0	0	0	7.50	4.75	1.426374	4.675604	0.473350	0.160086
1413034591	1000	2	5	1	2	1	1	0	0	1	0	0	0	0	0	0	7.50	4.75	1.427985	4.678828	0.477628	0.269249
1413034592	1000	5	2	6	0	0	1	0	1	0	0	0	0	0	0	0	7.50	5.00	1.461026	4.778755	0.513271	0.957541
1413034593	1000	7	7	11	8	0	1	2	5	1	3	0	0	0	1	0	7.50	5.00	1.426374	4.670769	0.476202	0.252556
1413034594	1000	1	5	5	4	0	0	0	4	1	0	0	0	0	0	0	7.50	5.00	1.462637	4.781978	0.487608	0.254391
1413034596	1000	5	4	3	0	1	2	0	2	0	0	1	0	0	0	0	7.50	5.00	1.461832	4.778755	0.487608	0.263283
1413034597	1000	9	1	4	2	1	1	1	0	0	0	0	0	0	0	0	7.50	5.00	1.427985	4.672381	0.479053	0.326906
1413034598	1000	4	7	7	2	0	0	0	3	0	0	0	0	0	0	0	7.50	5.00	1.463443	4.785202	0.487608	0.245512
1413034599	1000	6	13	9	12	0	2	2	6	3	1	0	0	0	0	0	7.50	5.00	1.461026	4.775531	0.487608	0.272188
1413034600	1000	4	6	5	4	0	1	0	2	0	1	0	0	0	0	0	7.50	5.00	1.463443	4.778755	0.487608	0.263283
1413034601	1000	11	15	11	15	1	4	2	4	3	3	0	0	1	1	0	7.50	5.00	1.466667	4.788425	0.487608	0.236644
1413034602	1000	7	8	6	8	1	1	1	3	2	1	0	0	0	0	0	7.50	5.00	1.465055	4.781978	0.489034	0.292936
1413034603	1000	2	4	3	4	1	0	0	1	0	1	0	0	0	0	0	7.50	5.00	1.464249	4.773920	0.489034	0.315252
1413034604	1000	4	8	2	3	3	2	0	1	1	0	1	0	0	0	0	7.50	5.00	1.430403	4.672381	0.479053	0.326906
1413034605	1000	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	7.50	5.00	1.428791	4.664322	0.476202	0.270773
1413034606	1000	3	2	0	1	1	0	1	0	1	0	0	1	0	0	0	7.50	5.00	1.430403	4.667546	0.474776	0.222170
1413034607	1000	3	4	3	5	1	0	1	1	1	1	0	0	0	0	0	7.50	5.00	1.431209	4.667546	0.479053	0.340635
1413034608	1000	3	5	2	3	2	2	2	2	2	2	2	2	2	2	2	7.50	5.25	1.466667	4.778755	0.489034	0.301852
1413034609	1000	5	2	2	2	1	2	0	0	0	0	0	0	0	0	0	7.50	5.00	1.433627	4.672381	0.476202	0.248010
1413034610	1000	9	3	6	2	1	4	1	1	0	0	0	0	0	0	0	7.50	5.00	1.431209	4.664322	0.479053	0.349805
1413034611	1000	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	8.00	5.00	1.431209	4.662711	0.476202	0.275336
1413034612	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8.00	5.00	1.431209	4.661099	0.471925	0.161271
1413034613	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00	5.00	1.432015	4.657876	0.479053	0.368183
1413034614	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00	5.00	1.432015	4.657876	0.473350	0.209900
1413034615	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00	5.00	1.431209	4.653040	0.372122	-2.588899
1413034616	1000	6	4	6	1	1	4	1	2	1	1	1	1	1	1	1	8.00	5.00	1.432015	4.657876	0.474776	0.249471
1413034617	1000	4	6	5	3	2	2	3	4	2	2	2	2	2	2	2	8.00	5.00	1.432821	4.659487	0.473350	0.205355
1413034618	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00	5.00	1.432821	4.656264	0.474776	0.254032
1413034619	1000	2	0	2	3	0	0	1	0	0	0	0	0	0	0	0	8.00	5.00	1.434432	4.659487	0.469073	0.086683
1413034620	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00	5.25	1.434432	4.657876	0.476202	0.289041
1413034621	1000	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	8.00	5.00	1.434432	4.659487	0.476202	0.284469
1413034622	1000	3	3	3	3	1	2	1	1	2	1	1	1	1	1	1	8.00	5.25	1.435238	4.657876	0.477628	0.328612
1413034623	1000	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	8.00	5.25	1.436044	4.661099	0.479053	0.358987
1413034624	1000	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	8.00	5.25	1.435238	4.656264	0.476202	0.293615
1413034625	1000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.00	5.25	1.438462	4.656264	0.479053	0.372784
1413034626	1000	2	2	3	2	2	1	1	1	1	1	1	1	1	1	1	8.00	5.25	1.440073	4.661099	0.469073	0.082183
1413034627	1000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.00	5.25	1.436044	4.654652	0.474776	0.258595
1413034628	1000	11	11	7	4	5	3	2	4	1	2	2	2	2	1	2	8.00	5.25	1.470696	4.761026	0.486182	0.273689
1413034629	1000	24	16	16	0	2	2	0	5	0	0	0	0	0	0	0	8.00	5.25	1.473920	4.765861	0.490459	0.376318
1413034630	1000	21	16	25	0	2	10	0	9	0	0	2	0	0	0	0	8.00	5.25	1.475531	4.769084	0.489034	0.328678
1413034631	1000	7	11	10	6	5	5	4	6	4	5	5	4	4	4	4	8.00	5.25	1.473920	4.770696	0.491885	0.401470
1413034632	1000	12	23	14	3	5	4	1	7	2	2	1	1	1	2	1	8.00	5.25	1.476337	4.772308	0.491885	0.396969
1413034633	1000	19	13	14	3	5	5	3	5	3	3	3	3	3	3	3	8.00	5.50	1.477143	4.772308	0.491885	0.396969
1413034634	1000	15	16	21	2	1	6	1	5	1	1	1	1	1	1	1	8.00	5.50	1.480366	4.781978	0.487608	0.254391
1413034635	1000	17	16	15	4	4	8	4	4	3	3	3	3	3	3	3	8.00	5.50	1.478755	4.773920	0.491885	0.392470
1413034636	1000	15	17	16	2	4	3	2	6	2	2	2	2	2	2	2	8.00	5.50	1.481172	4.778755	0.491885	0.378993
1413034637	1000	10	6	6	5	5	6	5	4	4	5	4	4	5	4	4	8.00	5.50	1.482784	4.780366	0.422023	-1.514781
1413034638	1000	23	24	21	7	5	7	6	10	3	3	3	3	3	3	3	8.00	5.50	1.482784	4.780366	0.491885	0.374507
1413034639	1000	21	22	21	12	7	4	6	10	5	4	3	3	3	3	3	8.00	5.50	1.484396	4.786813	0.491885	0.356592
1413034640	1000	16	12	11	4	5	5	3	5	4	3	3	3	3	3	3	8.00	5.50	1.486813	4.790037	0.494737	0.424610
1413034641	1000	13	18	11	4	1	2	2	6	3	1	1	1	1	1	1	8.00	5.50	1.482784	4.777143	0.493311	0.422065
1413034642	1000	27	18	9	1	6	5	1	3	1	1	2	1	1	1	1	8.00	5.50	1.487619	4.788425	0.487608	0.236644
1413034643	1000	15	10	13	4	2	3	3	5	2	3	2	2	2	2	2	8.00	5.50	1.485202	4.781978	0.494737	0.447111
1413034644	1000	18	13	3	0	2	0	0	0	0	0	0	0	0	0	0	8.00	5.50	1.485202	4.780366	0.494737	0.451620
1413034645	1000	23	21	2	0	4	1	0	1	0	0	1	0	0	0	0	8.00	5.50	1.485202	4.778755	0.493311	0.417564
1413034646	1000	15	11	13	8	6	6	6	6	5	6	5	5	5	5	5	8.00	5.50	1.490037	4.791648	0.497588	0.497050
1413034647	1000	12	14	13	10	6	4	4	5	6	3	3	3	3	3	3	8.00	5.50	1.492454	4.798095	0.494737	0.402185
1413034648	1000	17	11	15	14	5	5	8	5	4	6	3	2	3	3	2	8.00	5.50	1.492454	4.798095	0.496162	0.440598
1413034649	1000	18	18	10	3	3	2	1	5	2	1	1	1	1	1	1	8.00	5.50	1.487619	4.781978	0.497588	0.524198
1413034650	1000	19	17	15	0	0	5	0	4	0	0	0	0	0	0	0	8.00	5.50	1.487619	4.778755	0.494737	0.456133
1413034651	1000	17	21	21	7	4	4	1	7	3	5	1	1	1	2	1	8.00	5.75	1.495678	4.801319	0.497588	0.470012
1413034652	1000	12	19	20	10	4	6	2	4	5	3	1	1	1	1	1	8.50	5.75	1.496484	4.801319	0.497588	0.470012
1413034653	1000	17	16	19	15	3	7	6	9	7	6	3	3	4	3	3	8.50	5.75	1.494066	4.791648	0.518974	1.074042
1413034654	1000	17	15	21	13	2	2	7	9	2	4	1	0	1	0	0	8.00	5.75	1.497290	4.802930	0.500440	0.542269
1413034655	1000	17	23	23	15	4	6	3	8	6	6	1	1	2	2	1	8.50	5.75	1.495678	4.798095	0.499014	0.517427
1413034656	1000	21	24	14	17	6	4	4	6	6	0	2	0	0	0	0	8.50	5.75	1.498901	4.802930	0.500440	0.542269
1413034657	1000	21	21	14	20	5	6	5	6	8	5	2	2	2	2	1	8.50	5.75	1.498095	4.799707	0.500440	0.551315
1413034658	1000	22	26	21	20	1	5	5	9	5	2	0	0	0	1	0	8.50	5.75	1.500513	4.802930	0.406340	-1.990532
1413034659	1000	25	21	23	27	6	7	10	8	7	4	1	0	1	1	0	8.50	5.75	1.498901	4.799707	0.500440	0.551315
1413034660	1000	16	17	17	12	2	6	6	6	2	2	1	0	1	1	0	8.50	5.75	1.501319	4.806154	0.501865	0.571584
1413034661	1000	20	24	25	21	3	7	7	10	5	5	0	1	2	0	0	8.50	5.75	1.502125	4.806154	0.500440	0.533235
1413034662	1000	17	18	15	11	6	7	8	8	5	4	4	3	4	3	3	8.50	5.75	1.502125	4.804542	0.500440	0.537751
1413034663	1000	25	13	15	19	7	7	7	4	2	4	2	2	3	1	2	8.50	5.75	1.502931	4.806154	0.497588	0.456533
1413034664	1000	16	18	17	17	5	6	6	3	4	4	1	2	2	1	1	8.50	5.75	1.502931	4.802930	0.499014	0.503891
1413034665	1000	31	17	28	31	2	8	12	5	6	12	0	0	3	1	0	8.50	5.75	1.504542	4.809377	0.500440	0.524212
1413034666	1000	21	20	21	16	3	5	4	8	1	4	0	0	1	0	0	8.50	5.75	1.506154	4.810989	0.500440	0.519706
1413034667	1000	20	22	20	27	1	2	6	7	4	4	0	0	0	0	0	8.50	5.75	1.505348	4.810989	0.501865	0.558017
1413034668	1000	15	22	30	19	2	7	6	10	6	6	1	1	2	2	1	8.50	5.75	1.504542	4.809377	0.500440	0.524212
1413034669	1000	23	18	24	20	4	8	6	5	9	7	1	3	1	2	1	8.50	5.75	1.506154	4.807765	0.503291	0.605395
1413034670	1000	16	14	13	11	3	6	3	7	5	1	2	1	1	2	1	8.50	5.75	1.507766	4.809377	0.503291	0.600860
1413034671	1000	21	19	19	28	1	4	10	7	5	5	0	0	0	0	0	8.50	5.75	1.506960	4.807765	0.497588	0.452047
1413034672	1000	20	15	20	19	1	5	6	6	5	5	1	0	0	0	0	8.50	5.75	1.508572	4.810989	0.503291	0.596329
1413034673	1000	17	25	24	18	4	6	6	12	3	1	2	1	0	0	0	8.50	6.00	1.509377	4.807765	0.503291	0.605395
1413034674	1000	22	16	23	23	6	7	10	7	7	4	2	4	2	1	2	8.50	6.00	1.510183	4.807765	0.503291	0.605395
1413034675	1000	20	31	30	28	3	6	6	12	6	6	1	0	0	1	0	8.50	6.00	1.510183	4.810989	0.507568	0.711264
1413034676	1000	19	23	25	18	7	9	5	14	4	8	4	2	2	3	2	8.50	6.00	1.509377	4.807765	0.503291	0.605395
1413034677	1000	31	23	27	19	5	7	5	13	5	6	2	1	2	1	1	8.50	6.00	1.512601	4.817436	0.506143	0.654750
1413034678	1000	23	22	26	13	8	11	6	11	6	6	5	4	5	5	4	8.50	6.00	1.511795	4.812601	0.506143	0.668397
1413034679	1000	25	22	23	32	5	6	13	7	4	10	2	3	3	2	2	8.50	6.00	1.513407	4.814213	0.508994	0.740415
1413034680	1000	20	21	22	24	2	7	5	7	7	6	0	1	1	2	0	8.50	6.00	1.510989	4.807765	0.504717	0.643733
1413034681	1000	20	26	20	22	3	4	5	9	8	3	1	0	0	0	0	8.50	6.00	1.512601	4.812601	0.506143	0.668397
1413034682	1000	24	29	34	15	2	11	3	12	2	4	1	0	0	0	0	8.50	6.00	1.514213	4.815825	0.504717	0.621022
1413034683	1000	36	23	23	23	9	14	9	7	2	2	4	1	1	1	1	8.50	6.00	1.513407	4.810989	0.503291	0.596329
