quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413032122	1000	36	37	29	31	8	10	11	6	10	4	0	1	2	0	0	2.50	0.25	1.271649	4.848059	0.779887	7.868518
1413032123	1000	34	30	27	31	6	9	7	5	10	4	1	1	0	0	0	2.50	0.25	1.272454	4.852894	0.784165	7.961739
1413032124	1000	30	30	29	30	5	7	11	9	10	3	0	2	0	1	0	2.50	0.25	1.271649	4.851282	0.781313	7.892694
1413032125	1000	35	22	26	31	3	10	6	4	11	6	0	0	0	3	0	2.50	0.25	1.270037	4.841612	0.779887	7.896209
1413032126	1000	28	24	35	18	4	11	2	5	4	4	0	0	1	0	0	2.50	0.25	1.270037	4.844835	0.775610	7.768223
1413032127	1000	43	30	29	36	5	11	14	5	7	3	0	0	1	0	0	2.50	0.25	1.270037	4.844835	0.779887	7.882355
1413032128	1000	26	27	32	25	4	9	7	10	5	4	0	0	1	1	0	2.50	0.25	1.270037	4.848059	0.778462	7.830500
1413032129	1000	25	26	27	31	4	6	10	7	5	6	1	1	2	1	1	2.50	0.25	1.269231	4.844835	0.778462	7.844311
1413032130	1000	35	23	25	22	7	9	7	6	6	7	1	1	2	2	0	2.50	0.25	1.270037	4.848059	0.777036	7.792481
1413032131	1000	29	26	32	30	5	5	5	9	11	3	0	1	0	0	0	2.50	0.25	1.269231	4.844835	0.778462	7.844311
1413032132	1000	31	36	25	27	7	5	7	8	6	4	1	0	0	0	0	2.50	0.25	1.270037	4.848059	0.778462	7.830500
1413032133	1000	41	35	37	43	7	10	13	14	8	10	2	0	0	3	0	2.50	0.25	1.268425	4.843224	0.778462	7.851223
1413032134	1000	30	29	25	31	4	6	6	9	11	2	0	0	0	1	0	2.50	0.25	1.270037	4.846447	0.775610	7.761340
1413032135	1000	32	32	27	31	8	6	11	7	9	4	1	1	1	0	0	2.50	0.25	1.267619	4.843224	0.774184	7.737054
1413032136	1000	38	37	29	30	5	8	16	13	5	3	2	0	2	0	0	2.50	0.25	1.266813	4.843224	0.775610	7.775110
1413032137	1000	28	30	27	42	6	3	14	12	9	6	1	1	1	1	0	2.50	0.25	1.266007	4.841612	0.775610	7.782001
1413032138	1000	30	26	32	32	6	11	6	7	9	5	2	2	0	0	0	2.50	0.25	1.266813	4.843224	0.774184	7.737054
1413032139	1000	31	28	24	34	1	6	9	4	13	4	0	0	1	1	0	2.00	0.25	1.266813	4.841612	0.822660	9.038283
1413032140	1000	30	30	31	33	5	10	6	7	8	9	1	0	0	2	0	2.00	0.25	1.266813	4.844835	0.771333	7.654092
1413032141	1000	28	27	21	31	4	6	4	1	7	6	0	0	0	0	0	2.00	0.25	1.266813	4.844835	0.774184	7.730179
1413032142	1000	25	33	38	23	4	10	7	13	8	1	1	1	0	0	0	2.00	0.25	1.266007	4.843224	0.774184	7.737054
