quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413033925	1000	37	29	27	26	6	5	12	11	5	5	0	1	1	1	0	2.00	-0.75	1.200733	4.696557	0.506143	1.004330
1413033926	1000	26	31	29	25	3	5	5	10	5	10	0	0	2	0	0	2.00	-0.75	1.200733	4.701392	0.507568	1.029207
1413033927	1000	18	20	14	19	4	2	5	4	4	3	0	1	0	0	0	2.00	-0.75	1.201538	4.703004	0.506143	0.985233
1413033928	1000	24	30	25	23	4	7	7	9	9	4	1	0	1	1	0	2.00	-0.75	1.202344	4.706227	0.506143	0.975704
1413033929	1000	26	30	15	30	6	1	10	5	7	1	0	1	0	0	0	2.00	-0.75	1.203956	4.704616	0.507568	1.019644
1413033930	1000	21	19	27	17	3	6	6	5	3	4	0	0	1	0	0	2.00	-0.75	1.201538	4.699780	0.504717	0.955556
1413033931	1000	31	22	21	10	4	7	7	3	3	1	1	1	0	0	0	2.00	-0.75	1.201538	4.698169	0.506143	0.999551
1413033932	1000	20	24	26	19	2	7	5	6	4	9	0	0	2	1	0	2.00	-0.75	1.203956	4.704616	0.501865	0.862933
1413033933	1000	27	31	25	18	4	6	5	9	6	3	0	0	1	1	0	2.00	-0.75	1.203956	4.707839	0.506143	0.970944
1413033934	1000	24	26	33	27	6	5	11	11	6	5	0	2	1	0	0	2.00	-0.50	1.205568	4.707839	0.506143	0.970944
1413033935	1000	25	21	23	28	2	11	11	4	8	6	1	0	3	1	0	2.00	-0.75	1.202344	4.694945	0.506143	1.009114
1413033936	1000	27	19	21	21	7	4	8	4	4	7	1	2	0	0	0	2.00	-0.50	1.205568	4.709451	0.507568	1.005324
1413033937	1000	23	22	15	27	9	4	8	6	5	4	2	1	1	0	0	2.00	-0.50	1.204762	4.701392	0.506143	0.990003
1413033938	1000	13	15	10	18	1	2	4	2	2	4	0	0	0	1	0	2.00	-0.50	1.203150	4.696557	0.506143	1.004330
1413033939	1000	9	17	8	10	2	1	3	4	3	0	0	0	0	0	0	2.00	-0.50	1.203150	4.696557	0.506143	1.004330
1413033940	1000	12	5	9	4	0	3	2	1	0	1	0	0	1	0	0	2.00	-0.75	1.202344	4.694945	0.504717	0.969854
1413033941	1000	25	17	16	2	1	4	1	4	1	0	0	0	0	0	0	2.00	-0.50	1.203956	4.698169	0.504717	0.960320
1413033942	1000	15	16	34	7	2	6	0	7	0	4	2	0	0	0	0	2.00	-0.50	1.205568	4.698169	0.500440	0.842625
1413033943	1000	24	18	19	13	1	4	4	3	2	2	0	0	0	0	0	2.00	-0.50	1.204762	4.698169	0.501865	0.881857
1413033944	1000	13	12	16	17	2	2	2	2	3	3	0	0	0	1	0	2.00	-0.50	1.204762	4.696557	0.504717	0.965085
1413033945	1000	15	13	20	16	3	5	6	4	4	7	1	1	3	1	1	2.00	-0.50	1.207180	4.704616	0.506143	0.980466
1413033946	1000	14	18	11	16	0	2	2	4	5	3	0	0	0	2	0	2.00	-0.50	1.207180	4.703004	0.504717	0.946042
1413033947	1000	17	11	17	9	1	2	2	3	2	3	0	0	0	0	0	2.00	-0.50	1.207985	4.704616	0.503291	0.902111
1413033948	1000	20	29	24	16	2	4	5	11	6	2	0	0	0	1	0	2.00	-0.50	1.205568	4.694945	0.506143	1.009114
1413033949	1000	13	18	13	8	4	2	0	6	2	1	0	0	0	0	0	2.00	-0.50	1.206374	4.694945	0.503291	0.930597
1413033950	1000	17	17	18	9	0	6	1	5	3	1	0	0	0	0	0	2.00	-0.50	1.208791	4.707839	0.506143	0.970944
1413033951	1000	16	20	16	16	2	5	3	3	8	2	0	1	0	0	0	2.00	-0.50	1.208791	4.707839	0.503291	0.892641
1413033952	1000	9	10	17	12	0	4	3	5	1	2	0	0	0	0	0	2.00	-0.50	1.209597	4.707839	0.499014	0.775188
1413033953	1000	18	18	18	13	2	5	4	5	0	2	0	0	0	0	0	2.00	-0.50	1.207985	4.703004	0.503291	0.906850
1413033954	1000	16	15	24	16	1	6	5	8	5	1	1	0	0	0	0	2.00	-0.50	1.208791	4.707839	0.503291	0.892641
1413033955	1000	27	24	23	25	4	6	9	8	4	5	2	1	1	1	1	2.00	-0.50	1.210403	4.707839	0.500440	0.814340
1413033956	1000	23	17	30	16	2	6	5	6	2	5	0	0	1	1	0	2.00	-0.50	1.211209	4.707839	0.503291	0.892641
1413033957	1000	22	27	19	22	7	4	5	6	6	5	0	2	0	1	0	2.00	-0.50	1.210403	4.704616	0.503291	0.902111
1413033958	1000	28	23	24	11	4	10	5	7	2	1	1	0	1	0	0	2.00	-0.50	1.207985	4.691722	0.504717	0.979402
1413033959	1000	30	26	23	24	5	6	9	5	6	4	1	0	1	0	0	2.00	-0.50	1.211209	4.706227	0.504717	0.936539
1413033960	1000	23	20	10	21	3	4	7	4	4	1	0	0	0	1	0	2.00	-0.50	1.212015	4.709451	0.504717	0.927049
1413033961	1000	25	23	20	12	6	8	4	5	4	1	1	0	0	0	0	2.00	-0.50	1.212015	4.706227	0.503291	0.897374
1413033962	1000	18	28	14	15	4	7	4	5	5	2	2	0	0	0	0	2.00	-0.50	1.212015	4.704616	0.504717	0.941289
1413033963	1000	19	22	20	17	3	2	3	5	5	1	0	0	1	0	0	2.00	-0.25	1.214432	4.706227	0.499014	0.779881
1413033964	1000	21	21	26	19	3	7	4	8	8	3	0	0	1	0	0	2.00	-0.50	1.212821	4.706227	0.500440	0.819046
1413033965	1000	20	15	14	21	3	6	8	4	6	5	2	3	2	2	2	2.00	-0.50	1.212821	4.704616	0.504717	0.941289
1413033966	1000	20	22	24	22	3	6	5	9	5	4	0	0	0	1	0	2.00	-0.50	1.213626	4.706227	0.503291	0.897374
1413033967	1000	14	20	24	18	2	4	4	5	8	4	1	0	1	0	0	2.00	-0.50	1.212821	4.704616	0.501865	0.862933
1413033968	1000	35	27	27	26	4	9	14	7	4	4	1	1	1	0	0	2.00	-0.50	1.214432	4.709451	0.501865	0.848774
1413033969	1000	29	22	23	19	5	8	5	6	4	4	1	1	1	0	0	2.50	-0.50	1.212015	4.701392	0.503291	0.911593
