quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413036931	1000	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	-2.00	-5.50	0.996850	4.582125	2.681843	62.735664
1413036932	1000	3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	-2.00	-5.50	0.996044	4.577290	2.680418	62.775326
1413036933	1000	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	-2.00	-5.25	0.997656	4.580513	2.686121	62.883011
1413036934	1000	0	5	1	3	0	0	0	1	3	1	0	0	0	1	0	-2.00	-5.25	0.997656	4.580513	2.687546	62.923244
1413036935	1000	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	-2.00	-5.25	0.998462	4.586960	2.677566	62.535362
1413036936	1000	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	-2.00	-5.25	0.998462	4.583736	2.726042	63.955605
1413036937	1000	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	-2.00	-5.25	0.996850	4.578901	2.691823	63.070702
1413036938	1000	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	-2.00	-5.25	0.997656	4.582125	2.694675	63.097698
1413036939	1000	2	2	2	0	1	0	0	1	0	0	0	0	0	0	0	-2.00	-5.25	0.998462	4.582125	2.696101	63.137920
1413036940	1000	3	0	2	1	0	1	1	0	0	0	0	0	0	0	0	-2.00	-5.25	0.998462	4.582125	2.698952	63.218369
1413036941	1000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	0.997656	4.578901	2.696101	63.191467
1413036942	1000	3	4	2	6	1	0	2	1	3	0	0	1	0	0	0	-2.00	-5.25	0.998462	4.582125	2.700378	63.258591
1413036943	1000	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	0.999267	4.586960	5.835611	151.539902
1413036944	1000	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	-2.00	-5.25	0.997656	4.575678	2.703230	63.446503
1413036945	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	0.999267	4.580513	2.704655	63.406116
1413036946	1000	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	-2.00	-5.25	0.998462	4.578901	2.704655	63.432987
1413036947	1000	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-2.00	-5.25	0.999267	4.580513	2.698952	63.245167
1413036948	1000	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	0.999267	4.580513	2.698952	63.245167
1413036949	1000	2	2	3	0	1	0	0	1	0	0	0	0	0	0	0	-2.00	-5.25	0.998462	4.578901	2.710358	63.594002
1413036950	1000	3	0	2	2	0	0	1	0	0	1	0	0	0	0	0	-2.00	-5.25	0.999267	4.577290	2.711784	63.661213
1413036951	1000	0	4	1	3	0	0	0	0	2	0	0	0	0	0	0	-2.00	-5.25	0.999267	4.580513	2.714636	63.687794
1413036952	1000	1	4	1	2	1	0	1	0	2	0	0	1	0	0	0	-2.00	-5.25	0.999267	4.577290	2.716061	63.782017
1413036953	1000	4	2	2	1	2	2	1	0	1	0	0	1	0	0	0	-2.00	-5.25	1.000073	4.578901	2.720339	63.875771
1413036954	1000	1	0	2	2	0	1	1	0	0	2	0	0	1	0	0	-2.00	-5.25	0.998462	4.574066	2.720339	63.956959
1413036955	1000	4	3	0	2	2	0	1	0	0	0	0	0	0	0	0	-2.00	-5.25	0.999267	4.578901	2.723190	63.956276
1413036956	1000	1	3	1	2	1	0	0	1	1	0	0	0	0	0	0	-2.00	-5.25	1.000073	4.583736	2.714636	63.633911
1413036957	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	1.000073	4.580513	2.727468	64.049942
1413036958	1000	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	-2.00	-5.25	1.000879	4.585348	2.730319	64.049164
1413036959	1000	1	2	2	3	1	1	0	1	1	0	1	0	0	0	0	-2.00	-5.25	1.000879	4.585348	2.724616	63.888374
1413036960	1000	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	1.000073	4.580513	2.733171	64.210899
1413036961	1000	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-2.00	-5.25	0.999267	4.577290	2.733171	64.265221
1413036962	1000	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	1.000073	4.577290	2.734596	64.305496
1413036963	1000	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	-2.00	-5.25	1.001685	4.583736	2.727468	63.995815
1413036964	1000	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	1.000879	4.582125	2.723190	63.902191
1413036965	1000	2	1	3	1	0	2	0	1	0	0	0	0	0	0	0	-2.00	-5.25	1.000073	4.575678	2.740299	64.493820
1413036966	1000	3	0	2	1	0	1	1	0	0	0	0	0	0	0	0	-2.00	-5.25	1.000879	4.578901	2.740299	64.439316
1413036967	1000	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	-2.00	-5.25	1.000879	4.575678	2.740299	64.493820
1413036968	1000	3	3	2	3	1	1	1	0	2	1	0	0	1	0	0	-2.00	-5.25	1.001685	4.580513	2.744576	64.532814
1413036969	1000	3	2	2	1	0	1	0	0	1	0	0	0	0	0	0	-2.00	-5.25	1.001685	4.577290	2.747428	64.667900
1413036970	1000	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-2.00	-5.25	1.000879	4.574066	2.747428	64.722580
1413036971	1000	0	2	3	0	0	0	0	2	0	0	0	0	0	0	0	-2.00	-5.25	1.001685	4.578901	2.751705	64.761345
1413036972	1000	1	2	0	3	0	0	1	0	2	0	0	0	0	0	0	-2.00	-5.25	1.002491	4.580513	2.754557	64.814484
1413036973	1000	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	1.001685	4.577290	2.753131	64.828964
1413036974	1000	0	1	2	1	0	0	0	1	1	1	0	0	0	1	0	-2.00	-5.25	1.003297	4.585348	2.757408	64.812904
1413036975	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.00	-5.25	1.003297	4.582125	2.807310	66.275475
1413036976	1000	3	2	1	0	2	1	0	1	0	0	1	0	0	0	0	-2.00	-5.25	1.000879	4.575678	2.757408	64.977203
1413036977	1000	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	-2.00	-5.25	1.001685	4.574066	2.757408	65.004654
