quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413037532	1000	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.183004	4.593407	3.906566	97.018265
1413037533	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.184615	4.596630	3.910843	97.061462
1413037534	1000	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.184615	4.591795	3.909417	97.137138
1413037535	1000	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.185421	4.593407	3.913695	97.218903
1413037536	1000	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.184615	4.590183	3.915120	97.336395
1413037537	1000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.185421	4.586960	3.913695	97.373703
1413037538	1000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.187839	4.595018	3.922249	97.420929
1413037539	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.188645	4.596630	3.923675	97.422333
1413037540	1000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.188645	4.593407	3.925101	97.539902
1413037541	1000	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	2.50	-0.50	1.189451	4.596630	3.929378	97.582733
1413037542	1000	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2.50	-0.50	1.189451	4.593407	3.930804	97.700409
1413037543	1000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.25	1.190256	4.595018	3.930804	97.661598
1413037544	1000	1	0	2	1	0	1	0	0	0	1	0	0	0	0	0	2.50	-0.25	1.191868	4.599854	3.950764	98.106339
1413037545	1000	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	2.50	-0.25	1.191062	4.595018	3.937932	97.862167
1413037546	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.25	1.192674	4.598242	3.942210	97.904747
1413037547	1000	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2.50	-0.25	1.191062	4.590183	3.937932	97.978867
1413037548	1000	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.25	1.192674	4.593407	3.939358	97.941170
1413037549	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50	-0.25	1.193480	4.593407	3.926526	97.580025
