quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413033324	1000	23	28	29	26	3	6	7	7	8	4	0	0	1	0	0	-0.00	-3.00	1.110476	4.699780	0.550341	2.210536
1413033325	1000	30	20	29	28	5	6	10	6	5	5	1	1	2	0	0	-0.00	-3.00	1.112088	4.696557	0.548915	2.181681
1413033326	1000	20	45	27	31	8	3	4	13	15	5	0	2	0	1	0	-0.00	-3.00	1.110476	4.698169	0.548915	2.176498
1413033327	1000	32	27	30	29	7	5	11	9	6	6	1	1	0	0	0	-0.00	-3.00	1.110476	4.699780	0.548915	2.171318
1413033328	1000	28	29	34	35	4	9	9	9	7	8	2	1	1	1	0	-0.00	-3.00	1.109670	4.696557	0.546064	2.103190
1413033329	1000	24	23	28	25	1	4	2	6	8	5	0	0	0	1	0	-0.00	-3.00	1.110476	4.698169	0.548915	2.176498
1413033330	1000	26	21	32	29	2	6	11	6	6	6	0	2	0	0	0	-0.00	-3.00	1.111282	4.699780	0.546064	2.092881
1413033331	1000	39	25	23	31	5	11	10	4	8	7	3	0	1	0	0	-0.00	-3.00	1.109670	4.694945	0.547490	2.147610
1413033332	1000	25	30	34	30	6	3	9	10	7	5	0	2	0	0	0	-0.00	-3.00	1.110476	4.696557	0.548915	2.181681
1413033333	1000	16	23	21	19	1	4	7	6	5	5	0	0	1	2	0	-0.00	-3.00	1.111282	4.699780	0.547490	2.132101
1413033334	1000	36	35	27	31	5	4	11	7	9	6	0	0	1	1	0	-0.00	-3.00	1.110476	4.698169	0.547490	2.137266
1413033335	1000	24	36	27	23	1	5	4	12	9	3	0	0	0	0	0	-0.00	-3.00	1.111282	4.701392	0.547490	2.126938
1413033336	1000	32	32	32	23	2	9	6	8	9	4	0	1	1	0	0	-0.00	-3.00	1.110476	4.694945	0.547490	2.147610
1413033337	1000	28	33	25	27	4	8	7	6	11	3	0	0	0	0	0	-0.00	-3.00	1.110476	4.696557	0.544638	2.063946
1413033338	1000	27	24	25	38	4	8	10	7	9	7	1	1	1	2	0	-0.00	-3.00	1.110476	4.698169	0.548915	2.176498
1413033339	1000	28	27	30	23	5	8	9	6	5	4	1	0	1	0	0	-0.00	-3.00	1.111282	4.698169	0.550341	2.215728
1413033340	1000	24	34	26	32	4	1	9	7	6	7	0	1	0	0	0	-0.00	-3.00	1.110476	4.694945	0.548915	2.186868
1413033341	1000	32	35	23	24	6	4	12	10	4	3	0	1	0	0	0	-0.00	-3.00	1.109670	4.690110	0.547490	2.163151
1413033342	1000	21	41	32	33	2	4	7	13	17	5	0	0	1	2	0	-0.00	-3.00	1.110476	4.696557	0.546064	2.103190
1413033343	1000	26	35	30	22	5	8	5	13	8	4	2	1	1	1	1	-0.00	-3.00	1.110476	4.693334	0.546064	2.113513
1413033345	1000	29	22	21	28	6	8	12	5	7	6	2	1	2	1	0	-0.00	-3.00	1.110476	4.696557	0.546064	2.103190
1413033346	1000	28	33	25	35	5	7	13	7	6	4	2	0	0	0	0	-0.00	-3.00	1.110476	4.693334	0.547490	2.152787
1413033347	1000	21	38	23	35	3	3	10	9	15	7	0	0	0	2	0	-0.00	-3.00	1.111282	4.698169	0.567450	2.686506
1413033348	1000	30	20	22	20	3	6	6	4	4	5	1	0	0	0	0	-0.00	-3.00	1.111282	4.698169	0.546064	2.098033
1413033349	1000	33	27	28	30	7	8	8	7	4	6	1	0	1	0	0	-0.00	-3.00	1.109670	4.688498	0.544638	2.089713
1413033350	1000	24	31	30	24	7	6	6	7	9	5	0	3	0	0	0	-0.00	-3.00	1.111282	4.696557	0.546064	2.103190
1413033351	1000	26	31	33	24	4	5	5	10	10	7	1	1	0	1	0	-0.00	-3.00	1.111282	4.694945	0.541786	1.990573
1413033352	1000	22	29	26	29	2	8	7	7	8	3	0	0	1	0	0	-0.00	-3.00	1.110476	4.696557	0.544638	2.063946
1413033353	1000	29	28	27	22	6	7	7	11	5	5	3	2	1	1	1	-0.00	-3.00	1.111282	4.694945	0.547490	2.147610
1413033354	1000	31	34	29	35	7	8	10	10	9	5	3	2	1	2	1	-0.00	-3.00	1.111282	4.698169	0.546064	2.098033
1413033355	1000	27	29	30	26	3	11	7	8	9	4	0	1	1	1	0	-0.00	-3.00	1.111282	4.693334	0.546064	2.113513
1413033356	1000	29	24	28	34	6	8	8	5	7	9	2	0	1	0	0	-0.00	-3.00	1.111282	4.694945	0.546064	2.108349
