quad V2.5
time	int	cnt1	cnt2	cnt3	cnt4	1&2	1&3	1&4	2&3	2&4	3&4	1&2&3	1&2&4	1&3&4	2&3&4	1&2&3&4	digTemp	temp	adct	adcr	adcp	pressure
1413035127	1000	27	38	43	36	4	6	8	15	13	6	2	1	0	1	0	9.50	7.00	1.578681	4.881905	0.695768	5.496795
1413035128	1000	29	32	28	32	3	8	9	9	14	1	1	0	1	0	0	9.50	7.00	1.577070	4.878681	0.697194	5.546751
1413035129	1000	37	47	42	41	7	12	9	13	14	9	1	0	3	1	0	9.50	7.00	1.577070	4.880293	0.698619	5.578414
1413035130	1000	20	31	34	24	2	8	5	11	8	4	0	0	1	2	0	9.50	7.00	1.577876	4.880293	0.700045	5.616182
1413035131	1000	35	38	30	35	8	9	10	12	8	6	1	0	1	2	0	9.50	7.00	1.577876	4.883517	0.698619	5.566200
1413035132	1000	31	33	34	29	8	8	7	8	7	10	0	1	1	1	0	9.50	7.00	1.578681	4.885128	0.698619	5.560099
1413035133	1000	30	36	30	35	4	10	7	5	14	4	0	1	1	0	0	9.00	7.00	1.577876	4.883517	0.698619	5.566200
1413035134	1000	33	32	33	27	3	9	10	11	8	5	1	1	1	1	0	9.00	7.00	1.579487	4.889964	0.697194	5.504126
1413035135	1000	32	32	25	30	4	9	9	6	6	10	0	0	5	0	0	9.00	7.00	1.577876	4.885128	0.702897	5.673287
1413035136	1000	24	38	28	23	7	5	6	8	4	3	0	0	0	0	0	9.00	7.00	1.577876	4.883517	0.701471	5.641684
1413035137	1000	28	43	31	33	6	10	6	10	15	4	1	1	1	1	0	9.00	7.00	1.578681	4.888352	0.702897	5.661022
1413035138	1000	30	40	31	37	6	5	6	11	9	7	0	0	1	0	0	9.00	7.00	1.577070	4.880293	0.702897	5.691716
1413035139	1000	29	27	28	25	5	9	2	3	7	4	0	0	0	1	0	9.00	7.00	1.577876	4.881905	0.615926	3.382517
1413035140	1000	31	30	38	30	2	12	8	7	14	4	0	1	2	0	0	9.00	7.00	1.576264	4.883517	0.704322	5.717168
1413035141	1000	30	31	33	33	5	4	9	9	7	4	0	0	0	0	0	9.00	7.00	1.577070	4.883517	0.704322	5.717168
1413035142	1000	30	31	34	28	6	8	7	11	13	3	0	2	0	2	0	9.50	7.00	1.577876	4.886740	0.707174	5.780307
1413035143	1000	28	21	22	33	2	9	10	5	8	4	0	0	1	1	0	9.00	7.00	1.577070	4.886740	0.705748	5.742590
1413035144	1000	27	31	19	31	5	5	6	6	16	3	1	2	2	2	1	9.00	7.00	1.576264	4.881905	0.702897	5.685570
1413035145	1000	30	31	31	36	3	10	8	7	9	7	1	1	1	0	0	9.00	7.00	1.574652	4.880293	0.705748	5.767254
1413035146	1000	40	30	42	41	7	13	13	11	7	9	2	0	3	1	0	9.00	7.00	1.576264	4.886740	0.710025	5.855742
1413035147	1000	31	39	34	30	4	10	6	10	10	2	0	0	1	1	0	9.00	7.00	1.577070	4.888352	0.710025	5.849548
1413035148	1000	24	23	29	31	3	6	2	8	8	7	0	0	0	1	0	9.00	7.00	1.575458	4.885128	0.710025	5.861938
1413035149	1000	27	32	33	27	5	7	6	10	7	4	1	1	0	0	0	9.00	7.00	1.575458	4.881905	0.757075	7.120258
1413035150	1000	25	18	28	22	1	11	5	4	5	5	0	1	1	1	0	9.00	7.00	1.575458	4.885128	0.712877	5.937398
1413035151	1000	35	31	32	34	10	9	10	8	3	9	2	0	2	1	0	9.00	6.75	1.575458	4.888352	0.712877	5.924958
1413035152	1000	30	35	31	30	9	7	4	11	7	6	1	0	1	1	0	9.00	6.75	1.574652	4.883517	0.711451	5.905883
1413035153	1000	34	38	28	43	6	3	14	10	13	7	1	1	0	1	0	9.00	6.75	1.573846	4.881905	0.711451	5.912099
1413035154	1000	23	38	31	32	8	5	6	8	10	11	2	0	1	1	0	9.00	6.75	1.574652	4.885128	0.710025	5.861938
1413035155	1000	22	33	27	28	3	5	2	6	12	6	0	0	0	1	0	9.00	6.75	1.573846	4.883517	0.714303	5.981369
1413035156	1000	32	35	25	40	7	4	11	8	12	9	1	2	1	1	1	9.00	6.75	1.574652	4.885128	0.714303	5.975129
1413035157	1000	27	32	39	36	6	7	9	12	9	10	3	1	3	1	1	9.00	6.75	1.573846	4.881905	0.715729	6.025365
1413035158	1000	33	30	35	34	8	6	15	6	10	6	0	4	1	0	0	9.00	6.75	1.573846	4.886740	0.717154	6.044330
1413035159	1000	30	20	27	28	4	7	10	6	7	4	1	1	1	1	1	9.00	6.75	1.574652	4.883517	0.715729	6.019110
1413035160	1000	36	32	38	27	3	11	11	10	6	2	0	0	0	1	0	9.00	6.75	1.573040	4.883517	0.715729	6.019110
1413035161	1000	32	40	37	36	7	8	12	9	12	4	0	0	2	0	0	9.00	6.75	1.573846	4.886740	0.720006	6.119765
1413035162	1000	32	29	28	29	7	5	6	5	4	5	1	0	0	0	0	9.00	6.75	1.573846	4.888352	0.718580	6.075779
1413035163	1000	28	31	30	25	4	7	5	10	6	5	0	0	1	0	0	9.00	6.75	1.573846	4.888352	0.718580	6.075779
1413035164	1000	29	31	27	29	4	9	3	7	10	5	1	0	2	0	0	9.00	6.75	1.572235	4.885128	0.718580	6.088319
1413035165	1000	23	30	18	35	6	5	9	7	9	1	1	1	1	0	1	9.00	6.75	1.573040	4.885128	0.718580	6.088319
1413035166	1000	28	36	26	37	6	5	8	7	13	5	0	1	0	1	0	9.00	6.75	1.571429	4.885128	0.721432	6.163780
1413035167	1000	37	30	30	22	9	10	6	7	6	4	0	1	0	1	0	9.00	6.75	1.572235	4.885128	0.721432	6.163780
1413035168	1000	26	26	33	35	1	7	11	4	12	10	0	1	1	2	0	9.00	6.75	1.573040	4.888352	0.721432	6.151191
1413035169	1000	38	31	33	33	7	12	10	10	6	3	2	0	0	0	0	9.00	6.75	1.571429	4.885128	0.721432	6.163780
1413035170	1000	21	27	33	35	2	6	6	8	10	6	0	0	0	0	0	9.00	6.75	1.573040	4.891575	0.755650	7.042944
1413035171	1000	32	38	31	35	3	10	8	8	11	5	0	2	1	0	0	9.00	6.75	1.570623	4.883517	0.724283	6.245564
